RECORDING_SESSION_LABEL	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	TRIAL_INDEX	TRIAL_LABEL
18TM5	NONE	526.5	364	219	Trial: 219
18TM5	AFTER	516.4	385.8	220	Trial: 220
18TM5	BEFORE	520.2	405.5	220	Trial: 220
18TM5	NONE	522.6	404.1	220	Trial: 220
18TM5	NONE	530.3	422.4	220	Trial: 220
18TM5	NONE	523.6	402	221	Trial: 221
18TM5	NONE	527.8	411.7	221	Trial: 221
18TM5	NONE	505.3	383.3	222	Trial: 222
18TM5	NONE	504	380.1	222	Trial: 222
18TM5	NONE	499	376.5	222	Trial: 222
18TM5	NONE	502.3	373.1	222	Trial: 222
18TM5	NONE	466.4	372.1	222	Trial: 222
18TM5	NONE	504.2	369.3	222	Trial: 222
18TM5	NONE	510.7	378.8	223	Trial: 223
18TM5	NONE	500.3	374.2	223	Trial: 223
18TM5	NONE	508.3	379.8	223	Trial: 223
18TM5	NONE	517.7	379.3	223	Trial: 223
18TM5	NONE	509.7	395.4	224	Trial: 224
18TM5	NONE	505.9	404.5	224	Trial: 224
18TM5	NONE	510.4	399.5	224	Trial: 224
18TM5	NONE	505.3	387.3	225	Trial: 225
18TM5	NONE	475.5	404.3	225	Trial: 225
18TM5	AFTER	505.3	365.7	225	Trial: 225
18TM5	BEFORE	500.3	376.1	225	Trial: 225
18TM5	NONE	496.7	385.3	226	Trial: 226
18TM5	NONE	521.7	417.3	227	Trial: 227
18TM5	NONE	519.1	393.3	228	Trial: 228
18TM5	NONE	515.9	404.3	229	Trial: 229
18TM5	NONE	521.4	403.4	230	Trial: 230
18TM5	NONE	508.3	430.2	230	Trial: 230
18TM5	NONE	527.5	402	230	Trial: 230
18TM5	NONE	515	399.4	231	Trial: 231
18TM5	NONE	515.9	412.1	231	Trial: 231
18TM5	AFTER	514.8	383.4	232	Trial: 232
18TM5	BEFORE	489.8	594.7	232	Trial: 232
18TM5	AFTER	518.1	438.5	232	Trial: 232
18TM5	BEFORE	515.5	386.3	232	Trial: 232
18TM5	NONE	518.9	350.9	233	Trial: 233
18TM5	AFTER	493.8	358.2	233	Trial: 233
18TM5	BEFORE	500.7	361.6	233	Trial: 233
18TM5	NONE	523	402.3	234	Trial: 234
18TM5	NONE	516.7	396.5	235	Trial: 235
18TM5	NONE	512.3	396.7	235	Trial: 235
18TM5	NONE	514.2	389.9	236	Trial: 236
18TM5	AFTER	518.5	396.1	236	Trial: 236
18TM5	BEFORE	496.8	378.5	236	Trial: 236
18TM5	NONE	512.8	379.9	236	Trial: 236
18TM5	NONE	504.9	405.2	237	Trial: 237
18TM5	NONE	503.9	383.7	238	Trial: 238
18TM5	NONE	513.5	381.6	238	Trial: 238
18TM5	NONE	513.9	393.6	238	Trial: 238
18TM5	AFTER	511.3	385.9	239	Trial: 239
18TM5	BEFORE	503.8	390	239	Trial: 239
18TM5	NONE	512.3	378.1	239	Trial: 239
18TM5	NONE	518.8	409.4	240	Trial: 240
18TM5	NONE	533.4	422	240	Trial: 240
18TM5	NONE	513.7	395.6	241	Trial: 241
18TM5	NONE	515.4	391.4	242	Trial: 242
18TM5	NONE	516	399	243	Trial: 243
18TM5	AFTER	514.3	403.7	243	Trial: 243
18TM5	BEFORE	517.7	382.3	243	Trial: 243
18TM5	NONE	539	355.7	243	Trial: 243
18TM5	NONE	520.9	377.3	243	Trial: 243
18TM5	NONE	504.5	390.4	244	Trial: 244
18TM5	NONE	521.2	418.5	244	Trial: 244
18TM5	NONE	502.4	395.8	244	Trial: 244
18TM5	AFTER	534	428.7	244	Trial: 244
18TM5	BEFORE	536.3	420.2	244	Trial: 244
18TM5	AFTER	507.1	383	245	Trial: 245
18TM5	BEFORE	508.5	387.4	245	Trial: 245
18TM5	NONE	520.9	394.9	245	Trial: 245
18TM5	NONE	517.5	390.7	245	Trial: 245
18TM5	NONE	523.6	412	246	Trial: 246
18TM5	NONE	518.9	394.4	247	Trial: 247
18TM5	NONE	514.5	388.1	247	Trial: 247
18TM5	AFTER	515.7	381.7	248	Trial: 248
18TM5	BEFORE	504.8	386.3	248	Trial: 248
18TM5	NONE	513.5	371.7	248	Trial: 248
18TM5	NONE	514.8	395	249	Trial: 249
