"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	82	"AN14 "	" oneCued "	0	" right "	8	315	"A "	0	6	"B "	0	3	0	1	"RJGFSZAQLUTVKEIYNBXPMOHD"	"XGIMQJLTOBSDPZHVEFKNRYUA"	"NXEQLTHFRPJYBVGZKAOSDIUM"	"XTJIFUBAOGZNVQEHYSPRKLDM"	"LDJHKAFGTZPVROMNEUQISBXY"	"YKUMGIPBVNHFLZXRDJSATQEO"	"LZRSJAUXTINDBPEHKGVOQYMF"	"INKQLHVTZEBFPADRYJUXGOMS"	0	7	FALSE
"main"	84	"AN14 "	" oneCued "	0	" right "	8	135	"L "	0	6	"X "	0	4	0	2	"BXTVSKJADOYEGPZLHFQRNIUM"	"OVBJXPUGQAMKFYNHIZESLDRT"	"QKRDJPFVLSHOUNABMIZXGTEY"	"EZGJMNDOYISBPULQVXTFKHAR"	"IOJPUHXTLBZFMAYNVSDQGERK"	"KTFDQVHZXNGSEYIOBJUMARPL"	"GJIHRSBFLAOEKQMYXPZUVDNT"	"HEPSQGRDLFJYVIZBUKXANOMT"	0	8	FALSE
"main"	88	"AN14 "	" oneCued "	0	" right "	8	315	"O "	2	10	"O "	1	3	0	0	"MBZKHPGVEIAYSXLQDTJOFRUN"	"GUPLBIRJDSQXFHKAVONTMYEZ"	"NFXMJSIGYBHQZVLOPETUDKAR"	"NKAGHDBUEJOQTVMLRPFSZXYI"	"GXAVBZERNLDOPFYISMUTKHQJ"	"KDOZIQYURXEGSMPAVHNBFLJT"	"HYUAFXTSZOQIRMELBPGDKVNJ"	"DREQIOYPFSHBKNVMATGUZLXJ"	0	10	FALSE
"main"	91	"AN14 "	" oneCued "	0	" right "	8	225	"R "	0	8	"O "	0	5	0	3	"BIKLZUSAQOYVJNDFPHMGXRTE"	"UFMKTIHQPJVGZBADSRXNOLEY"	"MJYHXZQPEUVGILSNORKTAFDB"	"FQANETXDIBZOLHYMJVURSGPK"	"SBUMAJDPLGKVREIQXTNHOYZF"	"PUQETZFNOXARYBIVKSLDHMGJ"	"TEDOAMSQBIGHNUVRLFKXPJYZ"	"PVFZLXONJEMYQDKSRGBIUTHA"	0	11	FALSE
"main"	92	"AN14 "	" oneCued "	0	" right "	8	315	"A "	2	8	"A "	1	7	0	0	"ZNOLYMXGEFUIQKHBRATVJSPD"	"PKQVJLOMFISHUBYETRAXGZDN"	"NGSTJMRHDBOVLAEQPKXUYFIZ"	"RKBZNGDSJQOMFYTIPEUVXLAH"	"EKIVFBYNXLHTJZDAMROPQSUG"	"ESZKNQPOXLDAMUIGBJYHFVRT"	"KJXLIAVRBUPNGQMDZYSHEOFT"	"BNSZUOFDAMGXQTRILPHKYEJV"	0	8	FALSE
"main"	98	"AN14 "	" oneCued "	0	" right "	8	270	"P "	2	10	"F "	0	2	0	1	"NIBDHGKLAZPJQTMXYVURESFO"	"SYNKMDUERJXAVGPHFBITQZLO"	"RLUGDIVNTOFPEQKZBMAXYJHS"	"KAGHBTNORXQDPUZYSEJLFMIV"	"OGDTJXBRUIHZESPFYVKAQNLM"	"DIQBJXMAVYONTFLEGKPRSHZU"	"SNOQAUPKMJTGZRLBFDYVEXIH"	"DNEQLJIMFOXTKVBYGHPRUZAS"	0	11	FALSE
"main"	101	"AN14 "	" oneCued "	0	" right "	8	180	"J "	2	6	"T "	0	0	0	1	"FVHKDLTJRSAIMBPQUXGNYOEZ"	"QEUGVZPDAYBFLNOMRTJSKXIH"	"TMSOUNEJPGHVRIZFXBKDYAQL"	"UQDFOBTHPISRJELYXGVNMAZK"	"LRAFJZODXYVQMIGKUTHBNEPS"	"RYPFNZGLBKMQVXUAETDJIHOS"	"NUTLBSYZRGIEHXPQOKVJDFAM"	"RFKLDSZBNIOQGTAYXHPUVEMJ"	0	7	FALSE
"main"	103	"AN14 "	" oneCued "	0	" right "	8	225	"U "	0	9	"J "	0	0	0	-5	"PONBUFHESJQVZTXIYRGALMDK"	"OLZEXBGPFTVDAJIMYUNHKSRQ"	"VSMLEZGUIPNJTDKXQAHYROBF"	"TEJUOGPBQFKYZNMVRXDHLIAS"	"DBPHETUQSZKRVNJAGFMYOIXL"	"BHMZLDQRTVSGKYJXEPUNIOAF"	"YFEZGJBMRUAIKQSNPVLOHTDX"	"UMHGAKSOPXLQZRBDIYENJVTF"	0	4	FALSE
"main"	107	"AN14 "	" oneCued "	0	" right "	8	0	"B "	0	6	"A "	0	5	0	2	"JILFYGXAUOZMVSQDHNTBEKPR"	"BZNHRUYGPOXETKQFDILSVJMA"	"HMJSFQVETRDOBZLUYXAPKIGN"	"SURLITEBDVZMXHAQJYFONKGP"	"IHJNESZAYDBVROTLXGKMQFPU"	"JGSQUIATBKXDZOFYMVNPELHR"	"QLJTXAKRDNMYGHEFSUOBPZIV"	"GAYQRVLJOEUNHSBKPTXMIDZF"	0	8	FALSE
"main"	109	"AN14 "	" oneCued "	0	" right "	8	90	"P "	0	6	"D "	0	0	0	-4	"ZFPVGHDBTOJYSMIAUELXNRQK"	"HTGRLOSFXPIEBAZYDUVQJMKN"	"JZITXGKAYQRSLVMHUDFBPONE"	"LUNDYEXPGTVZKQIROJAHSMBF"	"BASOGMKNPJIQHZTYDUFREVLX"	"ZLQPRYMTUFGNHJSOIXBDVAKE"	"ZRHYBMIVLUJKSQNODGAFPXET"	"LZPJBXEQKYHNTOURGFSDMVIA"	0	2	FALSE
