"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	78	"SH20"	"nStreams"	0	"right"	8	270	"L"	0	10	"U"	"False"	0	-90	0	1	"GRKEIAMXFPULJQDZHOYNVBST"	"NGQDMFAEYPOVLRJUIHBKZSXT"	"TSYRXIKVHLJGPZOEDAUMQBNF"	"FENSTHUJRLBKOZAMYQVDXPIG"	"NBSJYHZIOMPTDKRQVAGEXLFU"	"MGQTUEYASBNLOPKHXJZDRIFV"	"JSGZRIEVYUPKDFXNMATHQBLO"	"QUERJXLOZHYKAVIPGDNBMFTS"	2	11	FALSE
"main"	80	"SH20"	"nStreams"	0	"right"	8	45	"P"	0	9	"Z"	"False"	4	-135	0	1	"GAMNPHLTUEJVYXIBQZOSDRFK"	"XFUKQLZSJEIMHNYRVABODPGT"	"VBNTXJMZEGYSKOQILPAHDRUF"	"RQPKLBGJUTNVAHMSOYZEFIXD"	"EDARJOFHVZPXYKNSTBLQIMUG"	"VQNMJOPKIDEFHXYLASURGZTB"	"GUHAVMZBDTROIQELJFYSNPKX"	"XHPSBRNJKZLEOQYVUTGDFIMA"	1	10	FALSE
"main"	81	"SH20"	"nStreams"	0	"right"	8	315	"L"	0	7	"L"	"True"	0	-45	0	0	"KXVNEUTLGOMHRIPJFBDQSYZA"	"OMHAPVSRTYNDJELZUGFKQXBI"	"TDLHGUVPJONZQBYKIFAESRMX"	"HMSNXYAKORQLPJDFZGBVITUE"	"RNOLVFPXHQYGKDMJZITBASUE"	"XGUIBNLHEDPSAKRTZQVMFJYO"	"SHIUGBLVKZRXTOJMQPYNFADE"	"UFSNBGXRTPQAZYLMODEJKVIH"	1	7	FALSE
"main"	82	"SH20"	"nStreams"	0	"right"	8	225	"G"	0	7	"G"	"True"	0	-135	0	0	"XFAKZDQGJUVPSEHRYBTNOILM"	"KATHIQGXEFSDUNRZMPOJVBYL"	"DPJVAOIMBUSKXQEYGNFRLZTH"	"ABXRHIFLJQNVDZOSYKUGMPET"	"YPANSUQMXFKOEVTDIZLJBRHG"	"JNELPAOHTZSQYGUDKMRVIFXB"	"XQRIHUJAFTSLBDYZOKVNEGPM"	"KVFQGBETZOILHRUPAMXJNYDS"	2	7	FALSE
"main"	84	"SH20"	"nStreams"	0	"right"	8	135	"D"	0	9	"A"	"False"	2	-135	0	7	"UFVTPMAOGJESHZDYNLQRKBIX"	"ILXODKEZYJTUFVRPGHMBNSQA"	"MTVHKEUBZAPRJNSIDOLYQXGF"	"IDAQLOPJZXTKFHSNUBVEMYRG"	"MTPOXLDHIZBAFNKUQREYGSJV"	"YDQOPHVINJXTFMRALZGEKUBS"	"BKRUQAIVMYFTPJLHZXOENGSD"	"MIESNZFQDTOXVGYKBPHJRLUA"	0	16	FALSE
"main"	86	"SH20"	"nStreams"	0	"right"	8	180	"P"	0	8	"R"	"False"	7	135	0	2	"QAIFLBPHRSNMXTYEGODKVZUJ"	"RIQEYSUPBAZXOLDKVGNMTHJF"	"YDTOHRAJVZKSIUQPXGMLBENF"	"HKUAPZNRVDGEXYLFBQSJOITM"	"ITXRVNGKLFOYUZJPABHQEMSD"	"XZJGERDKHQLMNPVTYSABIUFO"	"FXUVOMJHALGTZERKIPDSNBYQ"	"UJTXKBEQRYPVFDAOGSNHZIML"	1	10	FALSE
"main"	88	"SH20"	"nStreams"	0	"right"	8	135	"N"	0	6	"I"	"False"	0	135	0	1	"ROLYVHINUDSJXEAGBQKFTPMZ"	"FQLESVGDHROPJBYNTKXZAMIU"	"HMDXBFNILSRJTVKUPZGEQYAO"	"SHGXAROYEQNKPVMLTIJZDUFB"	"PYQIJNHXZDKEVTFRABUMLSOG"	"QOYTUPDGJNZXKFBSIAMLVERH"	"LEMIAJNPOTXBYRHSVQZKFDUG"	"RYQTAXVMHZJDEKNPGLOBSUIF"	1	7	FALSE
"main"	90	"SH20"	"nStreams"	0	"right"	8	315	"D"	0	10	"D"	"True"	5	180	0	0	"FYGDKJIUTZVPOAHSQLXMRBEN"	"NUJRXTBHZIMLEYQAOPDVFGKS"	"PSYVGUQKTBNEZMRFXHJLIADO"	"DQHYRZGVATUMXEINFPSOKJLB"	"KMTOXIENFUZLSBPQGVADYJRH"	"RKBENYSUTIDQGAJMFZOLVPHX"	"JGYBVIOTPUKLHQAFNMRZXEDS"	"KTJIXNAPRYQSOFMBGUHZLVDE"	0	10	FALSE
"main"	93	"SH20"	"nStreams"	0	"right"	8	225	"Y"	0	8	"T"	"False"	1	-90	0	1	"SXEJDZBLYGITANHFUORVMQPK"	"UEDVZNOJTYKGMABPFRLHQIXS"	"RUYMFJOANKTDHSBGXPLIZQEV"	"HJFUMGXPYLOQARTDBNZSVEKI"	"SYEVAUBGPNIKLMFTXDRZOJHQ"	"RFLZNVKYSQUDJOEPTHBIGAXM"	"LVEKTUBXNDMFZHROGQAJYISP"	"JVGBTDLOXPEZFNQHYRUIKSMA"	2	9	FALSE
"main"	97	"SH20"	"nStreams"	0	"right"	8	45	"M"	0	7	"D"	"False"	1	90	0	1	"NXBMDLRQTZJKSYOPUVAHIFEG"	"OYSEVNADMXIBLQJFRTUPHZKG"	"IUKQJBPLTFVSGAXMNDYZEHRO"	"UPYJXQDFIHAEVTSMLROZNKBG"	"XLHRQMTBJOKYFDEVUZGPNISA"	"ZKSBDIONJXYMGFPEQUALHTRV"	"TFPGVXJYMONLZUHDBRKASIEQ"	"RHQVDTXZIYBJAOUMFEPGNLSK"	0	8	FALSE
