"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"nPreCueStreams"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"angleOfWhichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	178	"KH18"	"nStreams"	0	"right"	2	315	"P"	0	6	"D"	"False"	6	-135	0	5	"GRHVMDPYOIBUTZFLESXAKQJN"	"OFBTVIUAPYJKDLXGRSHNEZQM"	"RKAMTSQPIZDUJOLGFYVXEHNB"	"UDLKSGETIAQYXBPJRNVZHFMO"	"HFRUVJYGQLZSDIXPANBTMOEK"	"NGHOIPYTLFSZERJQVMAKDBXU"	"LMZTJRDHUXEPOQANFIBKYVGS"	"MIQDJEYTUOZKRGXHVLBSAPNF"	2	11	FALSE
"main"	182	"KH18"	"nStreams"	0	"right"	2	45	"F"	0	9	"Y"	"False"	1	90	0	1	"JHTBDZYXNFERMSVGKAOQIPLU"	"NDGHRBELJYFIAOSXKVZTUQMP"	"SGZPNTAIJEUBRFMHYKQLOVXD"	"LSXYUAETFQVKJORGHZINBDPM"	"GYKOXNHJBQEUIRLDMPTVFZAS"	"SAOZMHYGRJKFDEQPUBINXVLT"	"YOHSRJXGIAMUEPNLKDFQVTZB"	"RTQLZDKXYMBIAOJUEVSGPFNH"	2	10	FALSE
"main"	185	"KH18"	"nStreams"	0	"right"	2	315	"Z"	0	7	"Y"	"False"	5	180	0	1	"TIYVLNEBUJFRQAXDZGPKSOMH"	"KYGZQHTEVRFUNOPAXBLJDIMS"	"DYXLMEJGOKAZFSPIVRHNTUBQ"	"TXAGHLJDSBFPKVNYEQOZUMIR"	"KBUQAGTELOJFYDHRIVPXMZNS"	"IPAJEDXYZVOHSGBUNLFRMTQK"	"DYRQAHGXIFTBVNZEKLUSMJPO"	"QYMDJHATUPSZXFVENBLGIROK"	1	8	FALSE
"main"	186	"KH18"	"nStreams"	0	"right"	2	45	"O"	0	7	"R"	"False"	6	-45	0	1	"USTOPXVDJNLYMFZKERQAGHIB"	"QAEXSMKPOYUTJFHNZBVLDRGI"	"YSUPIMFHOEXDZQBNGLVJATKR"	"OEKSZUQRPDTAXLFJBGMHNIYV"	"DMJSRYQOIPEFLNTVHABUXZGK"	"RPUYMNZVHJLEOIADSKQGBFTX"	"SZBDMTNROFAGJHEIPUVXKQYL"	"HTUQNAEBPIJVDFYMGKZLXROS"	1	8	FALSE
"main"	188	"KH18"	"nStreams"	0	"right"	2	225	"L"	0	6	"L"	"True"	2	-45	0	0	"GPKQDFXZYLEJNOIVTUHMRSAB"	"PNFRBZDUVAXHEMGSQOTLIKYJ"	"ZROSJILBMHKYPXEDVQUTANFG"	"RYHGKUVJIMFOQXELADNPSTBZ"	"IFZLBVRSDKHXMQONAYTJGPEU"	"KVTDOGUSEJZIYBPHQRMFXNAL"	"NZPBKGHFUXJQLMYVORSIATDE"	"EATUFRXOGZDSYIBNQPMVHJKL"	1	6	FALSE
"main"	191	"KH18"	"nStreams"	0	"right"	2	225	"P"	0	7	"I"	"False"	1	-90	0	1	"QXDVJSMNKTBHLFEGOYUZIPRA"	"NLYVZRHIPAKTQFGMUOSJXEDB"	"BUIDZPMRHGEVKFAXJTQYLOSN"	"QIVJMNLORPZYDEBHFKXASUGT"	"SVLMKTZQOAFRJBYHDGNEIUXP"	"YSOXHFQPGKLNIAVRJZBUTEMD"	"RDMFXHGIQVNTBOKZAELPSYUJ"	"KOMDAGZXLRYQJNSBHITUPEVF"	1	8	FALSE
"main"	193	"KH18"	"nStreams"	0	"right"	2	270	"N"	0	8	"J"	"False"	1	-45	0	1	"YRQLDVMXEFNOTSBGPUKJAZIH"	"MHUYRAZBJNSTXVEFLPKDIOGQ"	"DLGIUXROPYATEJMZQHNSVKFB"	"NYPTZVFUESIMALQHJKXODGRB"	"DINVHLTAEZQKGFOXBSMYPRUJ"	"FJQOIAVMDKLEPHZBNXUGRSYT"	"DSGMFRJVPAEYXZIHKQOTUBLN"	"ITBURXKSLOHYJAZGQMEVFPDN"	2	9	FALSE
"main"	194	"KH18"	"nStreams"	0	"right"	2	180	"E"	0	7	"M"	"False"	2	-90	0	1	"PAVHZJUROTLKMEFYIBGXNSDQ"	"XTSLOMUEHIADRNBFJVKYGPQZ"	"XUTYNQPMEDLAJIVGKSHFBROZ"	"XYOVUAZREDTJLMQNSBPGKIHF"	"OVLBAENUJGPYZIKSHFRTXDQM"	"MIUGRSVTXEFKJYOLZHBDQNPA"	"GYSFRBDPLKXANITHQOEMJUZV"	"RNEMPYBXLFJHAQKGTOISVDUZ"	2	8	FALSE
"main"	195	"KH18"	"nStreams"	0	"right"	2	0	"S"	0	6	"P"	"False"	4	180	0	1	"FZOHGNKEMPDVJUXYTQILRASB"	"XAMBSVFOJYNLTZRGUHDKIQEP"	"IQVDMNSXEHFAGYPRTOZULJBK"	"YFIKGQPXZVSEDUHRAOLMJTNB"	"QZEAINPSBROLFXKJMVUDHYTG"	"QNBKEIPYGODXHATLMFVJUZRS"	"HRAEVBLGJFKMSOXPDTUIQZYN"	"MHRBDPYKOJIXFSEZQAUNTLGV"	1	7	FALSE
"main"	196	"KH18"	"nStreams"	0	"right"	2	90	"E"	0	6	"M"	"False"	7	45	0	1	"ATEMLNZROPGFUDHVQIYKSJXB"	"FSRGEYBMZJUDAPHNLTVQOXIK"	"VKNGMAYIBLUPDQHOSFTZRJEX"	"YTIENZHAVKOLSFDUQXJMPGRB"	"XQDOVRBHMNFTKLJAYIZGUSEP"	"DIKGNLJAQVMTSYEOXPHFBZUR"	"HJVPNDMROZQGFUXAESBTLYIK"	"DIAQRYMEJFSVKONUBXZHTPGL"	2	7	FALSE
"main"	202	"KH18"	"nStreams"	0	"right"	2	225	"E"	0	9	"Z"	"False"	3	-1.40334185971e-14	0	1	"JZLPFYDIXRUGTBOEMNSQVHAK"	"MTOPVAUYZXQSGEIKBLHNJFDR"	"JXEBAKHILQZSOUNMDGVPTYFR"	"POSJGVNBYZEIDRUXAMFQKTLH"	"LTFIOPHYEAGZDBSRKJNMVUQX"	"HPIESVLUMDAFBXQNJORYGKZT"	"EMQVFIONRGLKTHZBYPDUSXJA"	"DMAUOPYNIBQZKFLESGVRTXHJ"	2	10	FALSE
