"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"cuePos0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"responsePos"	"fixationReject"
"main"	188	"JA8 "	" oneCued "	0	" right "	8	315	"V "	2	8	"V "	1	5	0	0	"YNSIKEJOHMFTDABQPGUZLVXR"	"VTGUELBHSDFYIRQZNJOMKPXA"	"DFYIVOBELQTZSAXJNPHRGMUK"	"BLOGADIJSZTQNFVYPKHXMUER"	"ZENDQAFMYLOKGRIBHUTPXVSJ"	"UBQSOHKJVGFNYRMEZPDXITAL"	"YPQEROFUBTNAMXISJVHZGKDL"	"IKXQGHEDPZRAVOLBTNSMUFJY"	0	8	FALSE
"main"	195	"JA8 "	" oneCued "	0	" right "	8	90	"V "	2	8	"Y "	0	5	0	1	"BFIJSGNYVUDRQKAEXPMTLOZH"	"FQNBPAJTIUXGLRVHDMZESKYO"	"SUJZPYMEKHBVNGTAIQFOLDXR"	"NDGLYOVAHXSBIQPEMJZRKUFT"	"SMJPRUXKTODBLAYEVNIHQGFZ"	"REISAQKOYVDTMULJFGXZPNBH"	"KBSTXVNDLAQZRGPFIMYHJEOU"	"TVLUGHEDJNKPMAZXYIOFRSBQ"	0	9	FALSE
"main"	205	"JA8 "	" oneCued "	0	" right "	8	225	"N "	2	8	"D "	0	3	0	-1	"RXPAILEQJHMZNFOKBSUTDYGV"	"QXUTMFHPJAOKLVNBGDIEZRYS"	"YMJAULPBOIVKGSDXZETRFHQN"	"ZFSBXOGNDMHAUYIJQVLREKPT"	"YNIOVUXHQLPKGMTAEZDFJSRB"	"BPJTUFAMRKIXLOZNSGHDQEVY"	"JUMSXLBDTHNEVFZQAPKYGRIO"	"IUYJQGHLTKVSOBZDFAERMPXN"	0	7	FALSE
"main"	209	"JA8 "	" oneCued "	0	" right "	8	0	"Z "	2	8	"G "	0	3	0	1	"BEOXDGQYFILRMZTHUSVJPKNA"	"XQLAJVFUMOSBNTHKPEYZIRDG"	"VBQURMOKDNGLHJFAXPYTIZSE"	"MRYBEFJPGZLSATUOIDXNKVQH"	"XVODUERMJGLFYIKTHANZBSQP"	"MXQZGBDNSFRVTKUEYOLIJAHP"	"DSKLQOPUJARVYGHEBNIXTMZF"	"LHTGJEQSPFKDIANURBYMOVZX"	0	9	FALSE
"main"	229	"JA8 "	" oneCued "	0	" right "	8	90	"E "	2	10	"N "	0	7	0	1	"LDTMXEVUSAHPBFZKOQGIYRJN"	"LTZFYVMAGNHOXUQEJBRKPDSI"	"RTNGYUMQSDPKHOFIBLEAZJXV"	"HSKMYIRLEJPFONVAGTXUZDBQ"	"FRQBXNYTHDSPEMAKIUGZJVLO"	"AKSUMVZRPTIOBYXEJFQDLHNG"	"GXYSIOEMQZRBLAVNFKJPHUDT"	"QPFGOILSKMNEUTYHZABRVDXJ"	0	11	FALSE
"main"	231	"JA8 "	" oneCued "	0	" right "	8	180	"A "	2	10	"U "	0	5	0	1	"OEQPDHTLVGMNIZBUYJXKFRSA"	"GFREZPHYJBMVAOQIXDTNKLSU"	"PNKYVHOTJLFXIEQGBMZASRUD"	"VERDKQYPBMIASXHONUJLFZGT"	"JGQIHADYXVFUTNRPMBSLEZKO"	"LFNBPGJSRMUADQOVXKIYTHZE"	"DVOHQUPIBYJNMGKLXRTASEZF"	"LUYHZBEQGSRXNOFTIMPAVKDJ"	0	11	FALSE
"main"	234	"JA8 "	" oneCued "	0	" right "	8	0	"E "	2	7	"F "	0	2	0	-7	"TZALBFXUIODSVEPKGNYQJHRM"	"LSNYRPXVKGBIQZUMETAHJODF"	"ENUJSTKFRZQXOIMLDPVABYGH"	"QZIDTRSVKPFXMHOEBGJANUYL"	"EPJXMSFHAYGTBZQOLRNIUDVK"	"VLESGYNARHFXDKMPOIQTUBZJ"	"QYOVFZADPLTMSHUXKJNBRIGE"	"NUJZYGLVOERBAHPFXMIQTKDS"	0	0	FALSE
"main"	235	"JA8 "	" oneCued "	0	" right "	8	45	"E "	2	9	"F "	0	1	0	-9	"XVBTIDLRJEZKAMYHNGSFOPQU"	"ENQMBOGAPFKTLZJYSDVIURXH"	"FYPXUJTHNGKVLIDERSAQZOBM"	"AQZXJGDEMISHLNVBKPTRYOFU"	"IPMARVFOKYHBLUNQGETDXJZS"	"DTKPZFYRULIJQHANMOEVBSGX"	"BNDPKIXSLQRZGFVHAUOJTMEY"	"JUDBTGVNSYOZHARQXFPLEMKI"	0	0	FALSE
"main"	245	"JA8 "	" oneCued "	0	" right "	8	180	"B "	2	6	"V "	0	1	0	1	"UFEXGIAPMDBQNHTYJLKROZSV"	"LKSMNJVBXHEYATRGQZOUFIDP"	"JMKAIBONRHEYPQXSZFTVLUDG"	"YAFMDONUZHTQVSJPRIXKBGLE"	"HOYMNFZLIDEBXSGVAUQPJKTR"	"OBETVPRSIGMADXULNYKJZFQH"	"MTGHQVRUPXYLNIBAFSEDKZJO"	"MVTNSGAPLXDYIHZFERBUKQOJ"	0	7	FALSE
"main"	246	"JA8 "	" oneCued "	0	" right "	8	45	"O "	2	6	"K "	0	6	0	1	"IFLJVSOUKTRGEPBHZADXYNQM"	"PIHJGLTBYXVZSOENKAMQRDUF"	"QEDNFOZVBIJGHSAURMXLYPTK"	"VESULFDKHZTPJRNYMXAQBIOG"	"VTQIHPBSULMANJFXKERYGDOZ"	"GUVFAJBZTDYMLIRSOPKEQNXH"	"MZHJRPKOIBASNYETLGDUQVFX"	"MIRTULJSZPHOKYGDQABNVEFX"	0	7	FALSE
"main"	254	"JA8 "	" oneCued "	0	" right "	8	180	"X "	2	9	"B "	0	5	0	-2	"TXKLYHDVIZSQBMPROGENUJFA"	"FLIEYKSBAJDGPVMXTNUOQHRZ"	"XIEUMGLPHVKZONQBAFSTJDYR"	"GHNULAVMIYTXSDQZOJFPBKER"	"ITXFADMLRPUOSYEVKQHBZGJN"	"EIFPQZSXUBKVRGLYMATJONDH"	"IVKYXSGRZFOJDNAHLQMPEBUT"	"ZKRANGLFEVQHDJYTOBSPIXUM"	0	7	FALSE
"main"	255	"JA8 "	" oneCued "	0	" right "	8	180	"A "	2	10	"A "	1	7	0	0	"DFQPIGMLVEKAOUJTHNXBRYSZ"	"LIQKZPDBSHGNEYUFRVMXOJAT"	"VTPIQYHBOUSJADLEXZNFGMRK"	"OPNLDGZVQFESTAMXBRUKIYJH"	"DIRALMVNSPJBZTQXHOGKFYUE"	"IETAJBNFKQMDORPYGZULSHVX"	"UZFPVRLYTIMASKJGDOXBQNHE"	"PKUNELDJHIAZBTOXSGQRFVMY"	0	10	FALSE
"main"	258	"JA8 "	" oneCued "	0	" right "	8	90	"A "	2	9	"U "	0	1	0	1	"NVDPJROIMTSKFABQHZYELGXU"	"DTVYOPZFEUAMKHXIRJBLNSQG"	"OUJQSKXGZLMRPEVYAIDTNFBH"	"LHMNQZOTGPJFXIVUKRAYEBDS"	"PLFHOUKZXEJTMDBYSNGIVRQA"	"YZJEXSORAQLTBUPNGKVHIMDF"	"BTNUSDZEPJLAYHGMFOIXKVRQ"	"ZGQIYKELOVHBSMRTAXJNDPFU"	0	10	FALSE
"main"	261	"JA8 "	" oneCued "	0	" right "	8	90	"S "	2	10	"O "	0	4	0	1	"LFANTMIKDXYRBZVHSJOQEGUP"	"EHDXJMPVQIUABRTSZOKNGFLY"	"YOXEMHIUKRPDLASBVGNQFJTZ"	"OASYFMRTQXPNZLEBKDJIHGUV"	"GKFLIDQMXPOSNRVBZHYUATEJ"	"ERHULJIQTGSYFVKDNZBOPXMA"	"SKQDJRNIEAHYOBTZXGVFLMPU"	"DHPMUYZBFJSVXEARLQKTNGIO"	0	11	FALSE
"main"	268	"JA8 "	" oneCued "	0	" right "	8	0	"E "	2	6	"B "	0	0	0	1	"GMJODUBEVNQLXPISFHYZARTK"	"YATENOSPLRKVZIMJQDFHGUBX"	"UPHNBTLDEVIXGAOMSKRFYQJZ"	"KUNMQXVDGFOBJPASZHLYITRE"	"HAGPTNDKSVEQZORYMBLUXIFJ"	"FYULIBTXDVMRESPONZJAKQHG"	"TSQAUKOPVNJFYLDBRHIXZEGM"	"VOKUZGTQSERHJXFYALNPDMBI"	0	7	FALSE
"main"	270	"JA8 "	" oneCued "	0	" right "	8	45	"F "	2	8	"V "	0	5	0	1	"GZHMRFXENJPOSLYTQKAIDUVB"	"YJZAHFQNLRVODKXIUMTBPGES"	"BENSUYGAKMXVDOLHQRIJPTZF"	"YEMIOAFPXBQKTRDLZNUGVHJS"	"YPOAIRJBNZSQGMVHEFTLDKUX"	"ZATMKGNLVFPUIXDOSQJEBRHY"	"IELNDVAOHXGTJRQKSFYZPMBU"	"ZSFHBKRVPGDUQIJNTEMXLAOY"	0	9	FALSE
"main"	272	"JA8 "	" oneCued "	0	" right "	8	270	"S "	2	8	"T "	0	2	0	1	"UXPABJOMNKHTGLRYDEVQZFIS"	"VBDFIEJZLROPGNQYXSTUMHKA"	"YNKBOQFZTSPJIAUXRGHLMEVD"	"SQIBGHJOYNRAFPEUMZLTVKXD"	"JEOVIYPUDKBXNLSZAHRGTMFQ"	"HRSBUNQTDKLEVZMIYFJOPXAG"	"ADKQYVGHXTLZIJOPUBFMSREN"	"JFIBZHMGAUOPXVKLRDQNSETY"	0	9	FALSE
