experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	streamsPerRing	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	32 	IK4 	 oneCued 	 0.0 	 right 	 8 	 90 	E 	0 	8 	B 	0.0 	5 	0 	2.0 	RXSMPDUGAHZOEITKLYNFJVQB	ROHLISYXVAEKPQGTUFZBNDJM	IATZDFSGVEPNQXLYURJKMHOB	HBUTMYPAJOSDFNGRXQLKZVIE	OGKTRYELQXPVJDZMFNIBAHUS	XZOMJQKUBYEPFGTLNDARSVIH	VYPKQJTUXDSILZRMABOEFGHN	AVQGMYUEXSBPKOZLTNJDHIFR	0
main	33 	IK4 	 oneCued 	 0.0 	 right 	 2 	 180 	R 	0 	6 	Z 	0.0 	0 	0 	1.0 	JXEOMIZRTHKQGNUADVBYFSPL	YZLSJBPDANVUQRFTHXMKGIOE	-99	-99	-99	-99	-99	-99	0
main	34 	IK4 	 oneCued 	 0.0 	 right 	 8 	 225 	S 	0 	7 	T 	0.0 	4 	0 	4.0 	QXRNJHZESYMGKIFBADLOVUPT	VZSONQMEAIUFJDPYHXKBRGLT	UKNPXDZORQEBVHTIYJFSLGAM	PTGLKVDINQSHJORZXUFEBMYA	ZEXDIFBTPVYSJOHMKARLNGUQ	OJYVHXBPKDZUMIQFTAERLNSG	GRDNYQIMJETUXOVFPZHKALBS	RFTNGXBEDPYMZJUQLOSKVHIA	0
main	35 	IK4 	 oneCued 	 0.0 	 right 	 2 	 315 	O 	0 	9 	J 	0.0 	0 	0 	1.0 	SDVXMTPNHJOFZULRAEYGKBIQ	ISVDRETLPNAQFGZOXUHJMYKB	-99	-99	-99	-99	-99	-99	0
main	36 	IK4 	 oneCued 	 0.0 	 right 	 2 	 135 	E 	0 	6 	D 	0.0 	1 	0 	2.0 	AUKDYRGPJBHQNFVLZOEXMSTI	PBKGQIDREJFHTVUZAXLMYNOS	-99	-99	-99	-99	-99	-99	0
main	37 	IK4 	 oneCued 	 0.0 	 right 	 8 	 315 	G 	2 	8 	B 	0.0 	5 	0 	2.0 	PJZAKVXQSFRMYLODIUGTHBEN	HVBXNIGMEYKAQSUTPOZFRJDL	ODJNIBEZGTAFQUPHLRXSKVYM	XEGUFOSJQLDMKVYBINHRAZTP	VDQXUHMFYNISPGKATZJLBREO	HJUOTAFEBQGINLZMYSRDKVPX	AVDGNZTURIQMJBKSLXFYHPEO	KLNBTHPSIQUEYMDZXFJARGOV	0
main	38 	IK4 	 oneCued 	 0.0 	 right 	 8 	 0 	M 	2 	7 	E 	0.0 	6 	0 	3.0 	XESUDOQBYZNMLARHFGJKPITV	ISLHPBMGETAQVXZNDUJYKOFR	RZDBKAHNFTPGMSVXUQYOJLEI	SPZUYALEBDGIHFXRMQTNOVJK	AMLBDIQOEZPGJXFVKNUHRYTS	BZMTLXSIPJERDUONGYQHVFKA	GJIKBUQERXMYAFNVZDSTOHPL	OLRDBSMNJQGAPYUEZIFVKHXT	0
main	39 	IK4 	 oneCued 	 0.0 	 right 	 2 	 225 	B 	0 	9 	D 	0.0 	0 	0 	-2.0 	JUXHLIKBSDFMERNPQAZVGOTY	JGMZFVIEYOSUDNPQKLHBXRAT	-99	-99	-99	-99	-99	-99	0
main	40 	IK4 	 oneCued 	 0.0 	 right 	 8 	 180 	Q 	0 	8 	P 	0.0 	3 	0 	1.0 	ZSYRAFKXVGOUNMIDQLBHTEJP	AZDVJFGQIPYNRETOKXUMSLBH	IVSBQMTZFDEXHAUOJPNLKRGY	RUVYONHKPQJLTEBASDFGZXIM	VNLFARUHXKSMEPJODTZGQBIY	ZLYOFRNDUEBPAIVJHSTMXQGK	DZSRHYUPEMQJALOKGNBVIXFT	NFPMGHJDQUXKBAZTVSROLYIE	0
main	41 	IK4 	 oneCued 	 0.0 	 right 	 2 	 90 	T 	0 	6 	T 	1.0 	0 	0 	0.0 	UQHLNXTGKRAVJEDOPIYMSBFZ	LUEASGHKXNZODBVQTFRPYIMJ	-99	-99	-99	-99	-99	-99	0
main	42 	IK4 	 oneCued 	 0.0 	 right 	 2 	 90 	G 	0 	6 	G 	1.0 	0 	0 	0.0 	MVALYKGPSNIXBFZDJROQUHET	DRHUOTELZQPSXVMIBFGJYKAN	-99	-99	-99	-99	-99	-99	0
main	43 	IK4 	 oneCued 	 0.0 	 right 	 8 	 180 	Q 	0 	8 	R 	0.0 	5 	0 	1.0 	LZVNYEIXMPUHAROBSQDTGKJF	HTQVDRYKZOLPXJGFUIEBAMNS	BSGONQDXEAZKVJITMPLHFUYR	BNMFTAHUPRSXVIYZEDOKQJGL	EAUVTKDHOBYLFZSXPJQRIGNM	BFUANMDYRQLZHIVEOTGJPXSK	UFMAYPJZVNSILBOTHREXDGKQ	AVQNXKYFIELZPODRUGHSBTMJ	0
main	44 	IK4 	 oneCued 	 0.0 	 right 	 2 	 135 	Z 	0 	8 	N 	0.0 	0 	0 	2.0 	GIKBJTQFNLZSXUPOEVDHARMY	VSYHTPMGDEFJQROZUBNLXIKA	-99	-99	-99	-99	-99	-99	0
main	45 	IK4 	 oneCued 	 0.0 	 right 	 2 	 45 	N 	0 	8 	A 	0.0 	0 	0 	6.0 	QLVIYHDMAFREJXNOSUPZGBTK	QRXELMVUFTGBAYSZHIOJNPDK	-99	-99	-99	-99	-99	-99	0
main	46 	IK4 	 oneCued 	 0.0 	 right 	 2 	 0 	E 	0 	6 	H 	0.0 	0 	0 	2.0 	RGUXZQHNEPTLFIAYSKMDJBOV	HSNPBLYZODJGMKTAQEURIVFX	-99	-99	-99	-99	-99	-99	0
main	47 	IK4 	 oneCued 	 0.0 	 right 	 2 	 135 	E 	0 	9 	I 	0.0 	0 	0 	-8.0 	SEDQGRBPLIOFANYVJMXUKHZT	VFYIOHRTQJXSALEPUMNKGDBZ	-99	-99	-99	-99	-99	-99	0
