experimentPhase	trialnum	subject	nStreams	ring	crowded	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	64	WN	2	1	Yes	P	0	10	Y	False	120	330.0	0	1	1	1	VGKEFSUTNYJXRQMZAIPOLBDH	JTIKLXGSZBYPRVDAHFEQUONM	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	65	WN	2	1	Bouma	G	0	9	P	False	0	30.0	0	0	0	11	HJDYXVFNQPATKBSRUOMIGZEL	LSRQIVAGXNMKUDPFHZEOYJBT	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	66	WN	2	1	Bouma	N	0	10	N	True	60	270.0	0	1	1	0	OPUQJGBKIEZHSTANFRLXMDVY	LRQJVSKYUHNFBPGXAIDZEOTM	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	67	WN	2	1	Bouma	G	0	9	T	False	60	90.0	0	0	0	-2	ZDEJNBPGXTOIAMYFHKRULVSQ	EUYDLOBSVRNGQFTMKPXHIAJZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	68	WN	2	0	Bouma	Y	0	8	Y	True	60	60.0	0	0	0	0	OQMBSDXNYVRZUAFELGHPKTIJ	SXBPIVUJTNRKFHOGQEDZLAMY	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	69	WN	2	2	Bouma	M	0	6	A	False	0	180.0	0	1	1	1	FQKPXJUMIHZLEDROGTYNSAVB	TROLEPAMQZGFSJDUVKBYXHIN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	70	WN	2	2	Yes	G	0	10	G	True	60	240.0	0	1	1	0	IDOHGTYQANBKMJEVLXRZFPSU	KTNXQDZYMFGLOSRUEHJABPVI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	71	WN	2	1	Bouma	A	0	7	N	False	60	90.0	0	0	0	-1	JBSLMDANVYTUFGXKQOPRHIEZ	UIKGZFVXRMPEOSBHADYLNQTJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	72	WN	2	2	Bouma	U	0	9	V	False	120	300.0	0	1	1	9	FJLTKRGOXVNAPQMHZBDSYEUI	FHXSEONAJVDKYLGRBTUIQZMP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	73	WN	2	2	Yes	F	0	7	E	False	0	0.0	0	0	0	2	NSZGMAUEQFTPKOXLVHRYIBDJ	MLYNAQXSJDOBGEIVTZUPFRHK	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	74	WN	2	1	Yes	D	0	9	O	False	120	330.0	0	1	1	1	PRXTDGLJOQFHVUIKEZMNYABS	YRBKHUQAVODIZFSPTEMLNJGX	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	75	WN	2	2	Bouma	S	0	7	T	False	60	60.0	0	0	0	-2	KEHQFSMTPODLJRAYGZNUIXVB	TDMVGZSIOANFHYUKBEPLXJRQ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	76	WN	2	2	Yes	G	0	6	B	False	60	60.0	0	0	0	-1	YROTXGBMSKVNFLIAJHZEDPUQ	KZLXPIHJUBSDGNOAYFVMQRTE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	77	WN	2	2	Yes	Y	0	8	V	False	60	60.0	0	0	0	1	GKUXTOZEVYNFDBIMSHPJRLAQ	TOFQDUMYKISXGREBPHVNAZJL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	78	WN	2	0	Bouma	F	0	10	L	False	0	0.0	0	0	0	1	PXVYEZJDBQLFGTINRSHUKAOM	GMXTDHUJOEFRAYVBZIKQNPLS	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	79	WN	2	1	Yes	M	0	7	M	True	0	210.0	0	1	1	0	NEHQZGIDFBUSTVXOLMPKAJRY	KUBYOGFMHERSNDQZLIAXTPVJ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	80	WN	2	0	Bouma	A	0	6	A	True	60	240.0	0	1	1	0	SVYAUIHBKLMJTXDZFGQEOPRN	RUBYPGASZVMXEJFHIKNOQDLT	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	81	WN	2	1	Yes	V	0	8	G	False	0	210.0	0	1	1	-1	TZIUMESBHGVKXOJPLQDRAYNF	THEPXLDVGRANFIQJOUYSMBKZ	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	82	WN	2	0	Bouma	Y	0	8	Y	True	0	0.0	0	0	0	0	BMDLZSPGYURIOQHANFTJVXEK	AFLOVQIJDMUGKYTRESXNPBZH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	83	WN	2	1	Bouma	S	0	6	B	False	0	30.0	0	0	0	-1	AOPMDSBHKGXLRIQFZYVUTEJN	AINERYQTVJSMPGDOFHXZKLUB	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	84	WN	2	1	Yes	Q	0	10	Q	True	0	30.0	0	0	0	0	LASIMKBZHJQXYDNUOTFPEVGR	JNBAPOZEXYSGRLKMIUVHQTDF	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	85	WN	2	2	Bouma	J	0	8	N	False	0	180.0	0	1	1	-2	XMYPDRZBIEGSFAJULONQVHTK	XQITSYJZNPFRMKUAHBEOVDGL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	86	WN	2	1	Bouma	H	0	7	U	False	0	210.0	0	1	1	-5	LYQVZFAOPTJGMSEIXHUNBDKR	DYHIOAXURBZQGJPTMVKLSFNE	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	87	WN	2	0	Bouma	L	0	6	L	True	0	0.0	0	0	0	0	ZOHEIXLVBDAGYPJSMRUNTKFQ	EDMYRTVXOJUQAIGKPSLFBZHN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	88	WN	2	2	Yes	Y	0	8	Z	False	120	300.0	0	1	1	-4	PFIZUQALHGYSDTMKXVBJERNO	PSUVYLARZTEJNKMQIXGDBOFH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	89	WN	2	2	Bouma	M	0	9	F	False	120	120.0	0	0	0	-6	LBTMOQJKUFAHDVZYPNRGEISX	GPNRJQOBLIDUSTFHYKEXMAZV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	90	WN	2	0	Bouma	Z	0	6	Z	True	120	300.0	0	1	1	0	IKFYOJARZTLBUSPMVNXHDEQG	KJPQYFZGHVOESRITBMUXDALN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	91	WN	2	2	Yes	Y	0	10	L	False	120	300.0	0	1	1	1	KNJGOLDXQURMTVIZBAPHFESY	PGVNFJZBAELYHRIDXMQKTUSO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	92	WN	2	1	Bouma	L	0	7	L	True	120	150.0	0	0	0	0	VYQXITJLOHMRASZBPDGNFUKE	TGADKFQMOELRPBVXSZNYJUHI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	93	WN	2	0	Yes	X	0	6	X	True	0	0.0	0	0	0	0	YDQZJMXPNSUBFHTIGOEKLARV	FRUQLPAOJZXGKSYMDEVNIBTH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	94	WN	2	0	Yes	X	0	7	X	True	60	240.0	0	1	1	0	IPRFHOKQADMTVSJGUBYNXZEL	ZLDSHQGXYBURNMKEJVIAFOPT	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	95	WN	2	2	Yes	U	0	8	S	False	60	240.0	0	1	1	-5	QIBFTXYAOPSUGMZDHLRJKVNE	GHRUPIYTSZOLDXBANFMEKJQV	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	96	WN	2	0	Yes	M	0	10	M	True	120	300.0	0	1	1	0	FKNZDSAHBLTVPUGMREJYIQOX	UTPRONALKVMQIJHXZDGBYESF	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	97	WN	2	2	Bouma	Z	0	10	G	False	120	120.0	0	0	0	-7	ETJZMBSUNKGHPFXILOADRQYV	VYRLXDZSEIPGUBQHJKANTOFM	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	98	WN	2	0	Yes	K	0	6	K	True	60	60.0	0	0	0	0	BMPUIGKEZVTHXYDFJOSQNLAR	RULMZQFNSYKEGVHJOAPBXITD	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	99	WN	2	0	Yes	Z	0	6	F	False	120	300.0	0	1	1	1	AHKIDUXONYQPSEZVFRGLMJBT	DBMAQNFZOTRJLHKVYPEIGSXU	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	100	WN	2	2	Yes	X	0	9	X	True	60	240.0	0	1	1	0	ZPOUHLEKVSBGTYXAJIDQNMRF	INUVKDJGOXYFHABQPEMZRTSL	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	101	WN	2	2	Yes	P	0	8	O	False	0	0.0	0	0	0	-2	MYIERJPBONHGLSVAFTDZUQXK	ARYKHTQUSLOZBGJIVENDMXFP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	102	WN	2	2	Bouma	P	0	7	T	False	0	180.0	0	1	1	16	KARXSLZYPTVNUOGMBDHEIFQJ	ROJHFLBTVDEUAQZYXKMIGNSP	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	103	WN	2	0	Bouma	S	0	9	J	False	0	180.0	0	1	1	1	UOHNFZEAPIRDMSJTXVQLBGKY	DVAGMOUXBJSQYZKHPRNFELTI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
