experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	nPreCueStreams	baseAngleCWfromEast	resp0	button0	cuePos0	answer0	correct0	whichStream0	angleOfWhichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	timingBlips
main	32	NC21	nStreams	0	right	8	135	Z	0	7	A	False	6	45.0	0	1	BKXJEPMRDHZOLATNYGISFVUQ	HJQKGMURLEVXPNASDOZIYBFT	RZJBELKDVFHGUNPQOSYXAMTI	OAJESXVFBULYQTNZKHRPGMID	OQLGAFKIUXDZEPNHMJVYSRBT	VPGMUSQYRJBEKLAFZINOXTHD	SXTYLNGAZFKMBQPRUJOIDEVH	LUAGYNOXQIEJVHZKMPTSFBDR	0
main	33	NC21	nStreams	0	right	2	270	E	0	7	B	False	6	180.0	0	3	TSFXGRAHZIQVYPBKJELNUMDO	RTLYIPHDEVGSKQUOZMJANXFB	KJMVSFEOHNQARUGPZLDBIXTY	PLREKNXGQMOTVZASHIYBFUJD	MGFJLUQSVORXIEZTKHDBPYAN	VFHMLDOGPTNQJEXKZIRSABUY	HSXJIYRBFLETPZUDQNKMGVOA	ZMOXNSYTQDKREPLFJVGUIBAH	1
main	34	NC21	nStreams	0	right	8	270	Q	0	9	K	False	0	-90.0	0	5	YTJAPZXLHKOGVNQDRUFIEMSB	JFLUGPMXSEYZQHNIOTRAVDKB	JPXINUYZLEQOHKRSFGDVBTAM	SNORVZTXYKPHJMFLAQUIGEBD	XDYJMGOREIFHQPSLKVUNATBZ	XSOIMTDZNRULEKPABGJFYHQV	GJUQABVTMZSERFNDIXOHYLKP	SINMUZPYDLJKBQVHAGEFOTXR	0
main	35	NC21	nStreams	0	right	8	225	B	0	6	L	False	7	180.0	0	1	ZSVGQAXRFPOUJINLBHYDEMKT	KUSRZHGXLMAQEFYIOJNBVTDP	VPJMTXFOQYRNEHGBSLIKDZUA	NSEBHARIZDTVJYMLXGFQPUOK	HPALMGSNYKROBQXDUEITJFZV	PNFMXAEDQBSLUIOYGJHVKRTZ	SOIRBHELMFZVGYUXQDKPJANT	RTJYPALBQMGUSXHDZENOFVIK	0
main	36	NC21	nStreams	0	right	2	45	X	0	7	Z	False	5	-90.0	0	-7	KOFLTHZYSJUPGQAMVINEBRXD	XKYNVFZLQPDGOHTBJIAEUMSR	SULVDZAPHJTQGBYEXMKNFIOR	KVLTAGOYPRZSFMQUXIEJHNDB	FSRYZXHULJOVQDNGPTMBAIKE	XVHDTQMZLGEBUOKRSPFAJNIY	KPYDAUTNEZFQRVGXBJSOIHLM	YSLQEMHJFBUXAKVTZNDIPGOR	1
main	37	NC21	nStreams	0	right	8	0	E	0	10	E	True	0	0.0	0	0	NLDFVAJMOREZIQSXYKGPTUBH	YEBDJZAVUMQHTNFLXKRGOIPS	JBOVFDETQKRZPHGXLNAYSUMI	BAYKTSFZMGLIPDXUOVQREJNH	FJYRDVBITZHLMKASGPUEOXQN	EVXSAMYBGLKIDUOHJTNRQZFP	DUKINHRQSEPZFLXTAYOJBGMV	LBUFQKNJXVTRMAPDZSOYHEGI	0
main	38	NC21	nStreams	0	right	8	225	J	0	10	P	False	4	45.0	0	1	XDTJZRBAOUMPYGQFVSILKNHE	HEFDZPULAQXOISVGBRNJKTYM	RJXDAZFQMUINGSKHTYVEBPOL	BDJSPRYFKTEMUVIAZNOQLGXH	FZEUBKVSDTPJIQXYMRLNAOHG	TGKVHNJPRMBQFXZADYOESULI	IOJQMDNRBLPVETSYAZKUGXHF	MEKZTPJROHFILADYSBNUQGXV	2
main	39	NC21	nStreams	0	right	8	180	E	0	7	E	True	5	45.0	0	0	UZQMDFOJBILSEKYAXGPVHTRN	SHOINYXFJGBMQETDPAUVLRZK	YMGQFNBDUPXTAZOVILHEKRSJ	TBFMGRNESZPODALVQIXJKUYH	IVRKYFDANLJSZPTHXBEUMOQG	FHVSNPREZIQYBGMXDULKOAJT	XZFBEYOTRVDSNPQGMIKUHALJ	TANPLVJRXGZSYUBHIKODFQME	2
main	40	NC21	nStreams	0	right	2	90	H	0	9	X	False	2	180.0	0	4	JHRQVGEXNTZLOBMIYFUAKSPD	YPAFRDJLQZSKOUMIBGVNHXTE	GKNSYMEPUXABIHLZDOFVJRTQ	EXFUJLANDYRHVBOZTSKPMQGI	NGFDQLVUIPEZSHYRMTOXABJK	HNMOYBXLJZVTIPUKGQFSDEAR	JXRHKLSQEBVZYIGONPMDFUAT	EYPFLXVQKJZGTISNAMBORUHD	1
main	41	NC21	nStreams	0	right	8	270	S	0	10	S	True	3	45.0	0	0	OEKVFMILHTBXPGNDJQSURYAZ	KHRGMZUJAOLFEDPXQTVNYSBI	TMKZGBRODXPIAFLQHVUSYEJN	UDHVGEPYKLSAQZXRJFINBMTO	TZSHMEVJLGOQBFKIPNRAYDXU	FLPQJUDEAVGHNZKYROSBMIXT	PVJAUKYLEOMSHRQDFBZXNGTI	HUYGLXFVPQMZBJDRAIESKNTO	2
