"ID","trial","condition","stream","SPE","targetSP","response","stimuli"
"AH",92,6,1,0,10,"Q","RASKLXTDIQHGOMUEPYJWFZBC"
"AH",93,6,1,0,7,"A","SJBEDPACOIKZXTGLYFHWMQUR"
"AH",94,6,1,1,17,"P","HKLIQDUMTBSFRCAWXPYJGEZO"
"AH",95,6,1,1,13,"X","RDWMJFKQBAUCYXIGOSEZHLPT"
"AH",96,6,1,0,8,"L","CBDWAOQLPMYZKRSGEHFUTJIX"
"AH",97,6,1,0,18,"J","IFPELSTHZGBAMKXWCJOQRYDU"
"AH",98,6,1,0,9,"Q","MGSTEKPJQZHIWCOFRBYXDUAL"
"AH",99,6,1,0,13,"Z","SBQXIGPWCEFJZADHLUROMKTY"
"AH",100,6,1,0,12,"H","BSFRGXOCZYAHWMPEDITKLJQU"
"AH",76,6,2,1,11,"S","JTWPDKXHBCLSOEQZFYUIAGMR"
"AH",77,6,2,0,7,"E","PIWARMEDJBUHQZKOCGFTSLXY"
"AH",78,6,2,0,12,"F","PBWMHGSUZJYFOECQLIRDTXKA"
"AH",79,6,2,-11,12,"H","HDSEQZOXGWLUJIYBRMPKAFTC"
"AH",80,6,2,0,12,"K","TWQGZHFBYPSKDXRUMJAOLICE"
"AH",81,6,2,0,8,"R","JUYXCSTRDEPHWQZBMGIFOAKL"
"AH",82,6,2,0,18,"P","JQHUZYLSORDACKETGPWBMXFI"
"AH",83,6,2,0,8,"C","IMHTWQSCUAZKELDBOXRYPFGJ"
"AH",84,6,2,-1,15,"C","TRHYIWQPALXZBCGEJFMKSOUD"
"AH",85,6,2,1,10,"Z","QODUFCYPEXZTGJSHWAMBRKIL"
"AH",86,6,2,-8,12,"W","SERWGTDAFBOMLUXQPCZJYHKI"
"AH",87,6,2,0,17,"O","JZGCLIAPXSMFRKWQOHBDTYEU"
"AH",88,6,2,0,13,"K","YBZXRGPTFSUDKEAMLWCJQIHO"
"AH",89,6,2,0,12,"Q","XGYJRIOTWSAQLHZDKFUECPBM"
"AH",90,6,2,0,11,"K","DOLPRHTJYEKIFCZMBWUQGSAX"
"AH",91,6,2,0,7,"G","AMQZPBGCFDUJXIHSYELWROKT"
"AH",92,6,2,-1,10,"X","HWUOYQPJXKBZSRDELFMGTIAC"
"AH",93,6,2,17,7,"M","EBPJKZWHGUDQCXLRFYSOTIAM"
"AH",94,6,2,-11,17,"X","KMSZEXOBLYAGPJFQURWTHCDI"
"AH",95,6,2,0,13,"Y","CZKXTHAPWLOEYSRDQIGBMFUJ"
"AH",96,6,2,0,8,"M","UOYFQPXMHZJWRISCTKDEGALB"
"AH",97,6,2,0,18,"B","GDLTXRHYZUCEFQWMJBAIKSOP"
"AH",98,6,2,0,9,"B","CPYZHSFGBADMTLQIXJWKOEUR"
"AH",99,6,2,0,13,"U","YJKAGDWLQOTIUEPFMZBCSHXR"
"AH",100,6,2,0,12,"S","CGBWLZRUXIOSFQMETKYPHJDA"
"AH",1,8,1,0,11,"A","BEZFXTGUIPAHRMWJSOQYLCDK"
"AH",2,8,1,0,13,"R","GHBMXAQCFKJTRDIWEYULSZPO"
"AH",3,8,1,-1,14,"I","TDEHPCZBJORGILMQUSKFWYAX"
"AH",4,8,1,1,7,"O","DRUZJHEOYGMKXIAFSCWPTBQL"
"AH",5,8,1,1,13,"T","WZDERFJMXCBOKTGHQPALSYUI"
"AH",6,8,1,1,7,"M","JTZOBRYMCSGHPUKDEWFAXLIQ"
"AH",7,8,1,0,15,"C","PAXZSIYKBTDWQECGMOLFHJRU"
"AH",8,8,1,1,9,"T","AYLOWRJPKTBIHSCGUXDMQEZF"
"AH",9,8,1,1,7,"S","DUTHLEMSZFWJXBCQIGPAKYOR"
"AH",10,8,1,-2,11,"B","AXFGSLQJBRPWCOTEMHUKZIYD"
"AH",11,8,1,1,17,"A","BIKTMLWOZJUHDREQFACYXSGP"
