"ID","date","exp","pool","block","trial","stream","condition","targetSP","SPE","rate","eccentricity","stimuli"
"EL","2012-11-26","Exp2","Experienced Observers",2,11,2,1,12,0,0,0,"AFOHDGKPTSYQZJXBUMLRNIEW"
"EL","2012-11-26","Exp2","Experienced Observers",2,12,2,1,7,14,0,0,"BWROAIHEUNFGYXKQTMLJPDSZ"
"EL","2012-11-26","Exp2","Experienced Observers",2,13,2,1,9,2,0,0,"SOQTDFPZUGWKRBXLMNYEHJAI"
"EL","2012-11-26","Exp2","Experienced Observers",2,14,2,1,9,-8,0,0,"WDISYRJBANHOXTKUGFEZMLPQ"
"EL","2012-11-26","Exp2","Experienced Observers",2,15,2,1,16,-3,0,0,"IJSALKTOEUNRGDWFPYHXMQZB"
"EL","2012-11-26","Exp2","Experienced Observers",2,16,2,1,14,1,0,0,"UGQEYAKZXINLHRDSMTWFBJOP"
"EL","2012-11-26","Exp2","Experienced Observers",2,17,2,1,7,1,0,0,"PLNRWMJFBDKYSUTHZGIAEQXO"
"EL","2012-11-26","Exp2","Experienced Observers",2,18,2,1,11,0,0,0,"OEMLYJHBWZQPXFUDRKNSTAGI"
"EL","2012-11-26","Exp2","Experienced Observers",2,19,2,1,13,-3,0,0,"YRUGJPLTDOHQBEAINMWXKFSZ"
"EL","2012-11-26","Exp2","Experienced Observers",2,20,2,1,13,10,0,0,"QZRBTNOJSYAIGMLEUXPDWKFH"
"EL","2012-11-26","Exp2","Experienced Observers",2,21,2,1,8,1,0,0,"WPOAGRUJZXITYEDMKNSQHBFL"
"EL","2012-11-26","Exp2","Experienced Observers",2,22,2,1,12,10,0,0,"MEDIFZQBRPSJUKYOLAHNWTGX"
"EL","2012-11-26","Exp2","Experienced Observers",2,23,2,1,17,-1,0,0,"KEYDTIJOXRFGMSHWUNAZPQLB"
"EL","2012-11-26","Exp2","Experienced Observers",2,24,2,1,8,-6,0,0,"FXOGJTMPYABSQIHULEKZWNDR"
"EL","2012-11-26","Exp2","Experienced Observers",2,25,2,1,12,0,0,0,"NGHMKPJQOYAFXSRZDBITELUW"
"EL","2012-11-27","Exp2","Experienced Observers",3,1,1,1,12,1,0,0,"JQPXIDLGYMUHETWKZBNRFASO"
"EL","2012-11-27","Exp2","Experienced Observers",3,2,1,1,12,1,0,0,"QGKTNEMBAODPIUYHSZXLWFJR"
"EL","2012-11-27","Exp2","Experienced Observers",3,3,1,1,18,2,0,0,"NWPSKZDUJIRYFGQMEOLTBHXA"
"EL","2012-11-27","Exp2","Experienced Observers",3,4,1,1,13,0,0,0,"YMIXQGNFUEBLADWRSJKTPZOH"
"EL","2012-11-27","Exp2","Experienced Observers",3,5,1,1,15,6,0,0,"RNTUKABELOWHFDMQXZPIYGSJ"
"EL","2012-11-27","Exp2","Experienced Observers",3,6,1,1,7,2,0,0,"YDEGNXHKBQAIMWLOJUFZRPTS"
"EL","2012-11-27","Exp2","Experienced Observers",3,7,1,1,18,1,0,0,"EFZYODQUSWHPBGIJRMTXALNK"
