"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	37	"WN "	" oneCued "	0	" left "	"L "	"L "	1	2	0	0	"KBAHERMQIDXOCUWFJPGVZNSTLY"	"ZUGNTLXYQAEPRBMDOJIHWFVCSK"	"JVTQNPDLIKGCXERBYMOZWSHFAU"	"BYUNSZRDGQFJKIEMTALCHOWXPV"	"ZQISVPXNAJCUTWKEDBLFYOGRHM"	"KAMCTXZJOVLSUQEBNYFRIWGHPD"	0	7	7
"main"	38	"WN "	" oneCued "	0	" right "	"L "	"L "	1	2	0	0	"SJDETRYNHAQLPXMZIFGBVOUKWC"	"ONKGZEUYDIVJSXAFQMTCBWLRHP"	"TROJHKCFLPIEUGDMAZSWNQXYBV"	"VTMDNBOFRQLYPUCKSHXAGEJZWI"	"BJQXWGYKMLPHOTRCZEDFAIUNVS"	"RSCOQTJBLUKYVFXMDAZWEPGINH"	0	8	8
"main"	39	"WN "	" oneCued "	0	" left "	"C "	"O "	0	1	0	14	"GRWUXSHMYCINZEJDLQVPFOBTKA"	"KGJQYRWXOVZTFLPDABUEMNCISH"	"AJVSQWCEKMTOXLBUNFZRHPYDIG"	"IRLTQHFCKUPNWGXMYODJABSEZV"	"AROTGPIXNHWBLEKVJUMSDZYFQC"	"OBCZYHILTNSRUDWGXQEKVJFMAP"	0	8	22
"main"	40	"WN "	" oneCued "	0	" right "	"Z "	"K "	0	3	0	1	"ZTGRVBNXIDUMESAHKOJYQFWPCL"	"FISQABOHYKLRGZVDEPJNUCTMXW"	"VJLWHSCEANDORMPTXGFUYBKQIZ"	"XRQCJYPKZTBMDWUOAFLHVNSIEG"	"DXTILQYJPCURBWFESHVAMGNKZO"	"DEHRUCSANOJBVKQZFLYWPTMIGX"	0	7	8
"main"	41	"WN "	" oneCued "	0	" right "	"M "	"G "	0	1	0	1	"ACTVLBORPUYQZIWSDMGJHXNFKE"	"WCKOTPEZGMLQHANBSIDURFXJVY"	"KLPNTZGCJYWSVADUERXHMIBFOQ"	"RFOJPHWCTXIKNAYMSLBEUVQGDZ"	"LHFTJKMUBAYXCVWNOREZQPGIDS"	"CUQERHVBYDZMJLPGSWOTXAKNFI"	0	8	9
"main"	42	"WN "	" oneCued "	0	" left "	"M "	"P "	0	0	0	-1	"DZNQGBVKFMPJWOUCXRESIYLTHA"	"MHWJISVXRKEBONYCTLFDQPUZAG"	"FBERUWHNOAQICMGSPZXVDLJTYK"	"JIAVYUQWOBDZRSCXEMGPFKLHNT"	"XGQHFTDVUCMOALJEBRWKISYNZP"	"XPZHKBJSAOTVWQGIYNRDUMLFEC"	0	10	9
"main"	43	"WN "	" oneCued "	0	" left "	"C "	"O "	0	1	0	6	"GHKMBZSNYVICERQAFJWPLXDTUO"	"IJGMBDXOVRTZFCUWKYAQPNSELH"	"BSJXAIYMNFVKRCULPDOTZWHEQG"	"KVJFRPASCXGOEDIWYTHZLNBUMQ"	"HFMXJYEIGOACLBPSZWKUVDQTNR"	"HWBLNSGZKJDMEOFAYCTXVPRUQI"	0	7	13
"main"	44	"WN "	" oneCued "	0	" right "	"K "	"K "	1	0	0	0	"VCDARUTZKNOFIXSGPYLMHBJWEQ"	"ULQOERKCSXATVNBFWDIJGYMZPH"	"AYTHUCBIJGVLWSMKRDEZOXQFNP"	"PFQSOEXTVGKNUCILJHRWAZDBYM"	"NXCEZYUBJITROLHDSAMKWQPGVF"	"THACNQDSMJOYVWKRZGEIFXPLBU"	0	8	8
"main"	45	"WN "	" oneCued "	0	" left "	"D "	"Q "	0	4	0	4	"QXKVRDAEUOBHPLYWZNMCJIFTSG"	"NZKGJWBCASHUDROFTQXLPVIMYE"	"XCIFVKEYSRZHNPQTUGLJWAMDBO"	"XNPVSGEJWAKRZQLIFCBHTYUDMO"	"HTRVIXEQUPJDFACOBZWMYLKNSG"	"YXZRFCEBJMTKSVOUQNGADPHILW"	0	7	11
"main"	46	"WN "	" oneCued "	0	" left "	"P "	"P "	1	4	0	0	"OQHWNGFMXJTDCSYBALPZVIERUK"	"LHEMAIPJKZUDTYVCNOQWGSBXFR"	"IQCYPJDKHOLRWXATNSEMBGVZFU"	"TEFXQWPVAJORDNUHGBYZKMCSLI"	"ZGAIVEKWYPDJFHUSCQBRLNXMOT"	"YOSGLPJAQIDCNWXHVKZTEFURMB"	0	9	9
"main"	47	"WN "	" oneCued "	0	" left "	"R "	"P "	0	3	0	-2	"TRIZAJFUQEMBNCSVYWHKGXLPDO"	"LBXOWKPYCMUNGQFRDZSIVJTEHA"	"EBGUQACJNFOYHSIRDVKPTZWXLM"	"NYTIRLPXGEZBKWFUVJCHAOQMDS"	"RHWVJUTMGNCSPKDEXBZILQAOYF"	"KLSXWENRFPQMOJUGAYDITCBHZV"	0	6	4
"main"	48	"WN "	" oneCued "	0	" left "	"W "	"W "	1	0	0	0	"RUDSNOYCPWQGTVIKHXJZLBFMAE"	"TMVJEYUWLBGDCQOZKSXFRIPHAN"	"HVCZFKIJYBQOWEGNARSDXMTPLU"	"BJKXFTYPGAUISNHCROWQDVEMLZ"	"NOBYRQUFIXDKETPCZMASWLVJGH"	"YTEZVRCJAUOWPSHMXDLFBGKQIN"	0	9	9
"main"	49	"WN "	" oneCued "	0	" left "	"P "	"A "	0	0	0	1	"FTEZMHSBONAPCGLVKWDJQIXYUR"	"ULNHWVKBQDTAGSOZMCPRFJIXYE"	"GRSXEWDHFJZYOQPNAKTIMLCBVU"	"YPWCSVAMUELBDTRGJXQOZNIKHF"	"NYROMCXBTVJALQHEDWKSUZPFIG"	"FUMCWRPATISHZXBKDVJQOYEGNL"	0	10	11
"main"	50	"WN "	" oneCued "	0	" right "	"S "	"T "	0	4	0	1	"OJIHVRDZGWLAUCYQFPSEXKBNMT"	"QSDPCEUTARJZFMNOLBGYWVKXHI"	"WXALHCJTQUVGDSEZNYRBFIMOKP"	"RBJWZATQEHDCSIUMXGKLVFNOPY"	"FEDVCQLYAMTSINUXZWGPBRHOJK"	"HTXKLWRMZICQNGJSUOYABVPDFE"	0	10	11
"main"	51	"WN "	" oneCued "	0	" right "	"V "	"I "	0	2	0	1	"GKRZYECJWXSVLTPMQAHBIONUDF"	"DXPVHEMSBTYJLKGNRQFOCWUIAZ"	"SBHNJEIVOYMFWUAPQTKLCRDZGX"	"CADQPNRYHLOUBZJKGFWTSEVIMX"	"WUGXBPRYEZCAHDFVQJKSOMNITL"	"ZYCBIJMPUEWDRLVHAXOTKGNFQS"	0	6	7
"main"	52	"WN "	" oneCued "	0	" left "	"P "	"F "	0	4	0	-1	"FPHQIWYKZRUAXJSTVLODBMECGN"	"MUDPKVXOZNELJSRQWYTHFIBGCA"	"QPZWERLNDJCOTIFHSAUYMXKVBG"	"EKTDBGJZIPQWSYFCUVLAMXNROH"	"TLKDAIJPFMNWOHSCUYXZEGBRQV"	"QBENTPJVFLHKWCAIORGXSZDUMY"	0	8	7
