"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"resp0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"timingBlips"	"correctPos"	"responsePos"
"main"	54	"KR "	" oneCued "	0	" right "	"B "	"G "	0	0	0	3	"CNEIUVGSDBXOTQWKLHMPAJYRFZ"	"FAXZQMTHIDKUNLWBPERJOCVYGS"	"XNZTABWCJVMDHSLRFGOUPEYKQI"	"YOVHIWNCDPLQXRMTKBJEZUASFG"	"OLGPHKMTINFCDJRYZBAUWESVQX"	"BUSFEVPHGXTOIDZLJKCYARNMWQ"	0	6	9
"main"	55	"KR "	" oneCued "	0	" right "	"N "	"O "	0	0	0	1	"ZFAXMLONJKYWDCGVBEQHRSPITU"	"ZKPGYLVMHOFSNTIEADWJUCRBQX"	"AYXCOMDGFQLHRKJWEBNTPVZUIS"	"QTALJIXEYVNZWSPCUOFMHDBRKG"	"BHDXEYKCJGSUQANVLORZPFTWIM"	"SEJOQFWHZGPDLYXUABNIKVMCTR"	0	6	7
"main"	56	"KR "	" oneCued "	0	" left "	"U "	"V "	0	0	0	1	"CZHLAPOJVUIDEQYTRKWMNFGSXB"	"PLCKOMYWIQBHAFUSZTEDJVRXNG"	"HVBLQXCGTYKNSOFPIDJRZAUEMW"	"UCQHOZTNMSVPEYRGKWFBDILJXA"	"FKRSEYMGHNZOIQCAJVXDPBUWTL"	"JNMUHQYDLBTZXESOIWVCFGKRPA"	0	8	9
"main"	57	"KR "	" oneCued "	0	" right "	"A "	"B "	0	1	0	1	"MNFPQXDRJVTKYHLICZSBGAWEOU"	"VFPEGZUOKBANIXDTRWLSYMQCJH"	"RXDTZHOVJAFBNGPQIWCYSKMLEU"	"YKBXOWEGDJRLHAIVMNSZQTFUCP"	"VYKCMRWSEBJALTPNDIZOFQGXUH"	"UZGTFDRINWSCQOHAXKEYLBJMPV"	0	9	10
"main"	58	"KR "	" oneCued "	0	" left "	"K "	"C "	0	1	0	2	"SOCQTZRMELFBAKNPIXJGVWUHDY"	"JZDGBVSQTCUKHLMXOPRWEYNIAF"	"RSCDKZHYFVTLPXQOMIABUWNEJG"	"VKTNPZUIMERBSXAFWGDHCJLQYO"	"FGOJNYVUBTWXIZLCSHQDAKRMPE"	"MKWOHJXFDEAIQGZSBUYTRPCNLV"	0	9	11
"main"	59	"KR "	" oneCued "	0	" left "	"G "	"Y "	0	4	0	4	"DVOWLBKXEGZTAPJMRFHSYICUNQ"	"XTSMHAZJFRYOGLKEQCDBIVWUNP"	"KDQLTEAXOGCBURIJSVNFPWZMYH"	"QFYNRTDJILEHZSPUBAGWCXOKMV"	"TXIWKZDFOPYUVBGSCMEQJNALHR"	"JEHZUPXNTIBDAFYLSOMCKRGWQV"	0	10	14
"main"	60	"KR "	" oneCued "	0	" left "	"U "	"Z "	0	1	0	1	"HVJTPFARWXGIKEZLOMSYQBDUNC"	"AIBLMFSHGZUYPOKVTJDCQRXWEN"	"IWPQVLBEGYZCHARKONFMXSTDJU"	"AEFJDIWQLSYHGKOBTNPZVUXMCR"	"GUPIJNYQCAKVSHMOZTBRXEDWFL"	"HCNIKODVXLTJEQUGBMYAWRFSZP"	0	9	10
"main"	61	"KR "	" oneCued "	0	" right "	"C "	"Y "	0	5	0	2	"MFLGYAUVSPHKEWJDXCBROQNITZ"	"SJMCDNQEFZLTAWOPYIGUKVHBXR"	"KYOICHRGSJFBALTPMEWNDQVZXU"	"IXSNBLPZWJMVODRAYCFETGKQHU"	"CGVKLNBMWHDZOYFSTUIAEXRPJQ"	"LEUHAZDVYICKMSXFPGONQRTWJB"	0	8	10
"main"	62	"KR "	" oneCued "	0	" left "	"B "	"W "	0	2	0	9	"SBYCUATGQXOEDNKHPJRVFZWILM"	"EZBMDFJUGYTCKAVSONXIRWHLPQ"	"RXYKHTWDNVFEJIOBUZPAMGLSCQ"	"HDMVBXJEZUYCWKNPGARLFQSTOI"	"ROWLSYAZMJGQNKPUTFDBICEXVH"	"NGLWBUKJQXDAOZISEYFPHCMTVR"	0	6	15
"main"	63	"KR "	" oneCued "	0	" left "	"G "	"I "	0	4	0	14	"XYBONLGDQJRISKCMFUVEZWTPAH"	"NDGSHBIPOMZYCUKWFQEJVRAXLT"	"PGYKJLFHONUVRDXWEZTMSQACIB"	"VHBDTYJQNKMZWXUALFCRPSGEIO"	"VDKMTYHQIFLNBOUEWRAPXZGJSC"	"LESGMXVRANJYTZHOWQDPKIUFBC"	0	8	22
