experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	31	18LS4	6	0	D	0	10	H	False	0	0.0	0	0	0	1	PBNLYJQEMTHDZXUAVGSOIKRF	GKIETQFMUXVDAYJPRNBZSOLH	NEYXBKFRVLMJZAIPQSDOHGTU	XYLQNBJHMASPUOEFGRTDIVKZ	XOKFUTADZYIEHPRSGMQJLNVB	KYZRFHNGTXBAIQMJDEVPLSOU	999	999	999	999	999	999	999	999	999	999	999	999	0
main	32	18LS4	6	2	R	0	6	F	False	60	240.0	0	1	4	-3	GAEFKVROPJMIULBDSQNZHTXY	ENHYQDUTAJXVMIGFBZPKSLRO	RDTGVIFAOHXPNQZKMBLYUSJE	OKHNAZYMBPLDGUFJRVESTXQI	YLBRKTFOIVUPZEGJMXNQAHDS	RUPXNEVKHDJQGTSOAZILFMYB	999	999	999	999	999	999	999	999	999	999	999	999	0
main	33	18LS4	18	0	P	0	10	Q	False	60	240.0	0	1	4	1	TLOXDNFZHAMBUGQVRKJIEYPS	UFMJHIZAVLDSGYBONTEPKXQR	XAKTUZOEMQGIBLDFYPSRNVHJ	UADHZOYXBFKLSJEQMPTVGINR	LMKHNVSGFAQPOEDJTXYZURBI	MJQBFLEODSKXGUAYHNVRZPIT	DTINAZUXBHJVFQOMSEPYKRGL	IZFUXOYNBKELVDPQJMAHTSGR	SEQBMFIKHNLOAPZXTRVJUGDY	EIHTOFBMGPJYVZRNXSLKDAQU	ZHPDEFGVSJIBXRKNOUMLQTYA	TPMBYKJVREGIZLDSUOFHNXAQ	ADIFXJTNQHVPERZLYSUMKBGO	ZLQNVESDRBPOIFAGTMYXHKJU	UILHRVBPEZTOFNAMXSGKJQDY	MOIQUARBZGFLPVDKNXHSYTEJ	POJDXFYSLERMNUGQTKBIAZVH	RNPETABIJKZHMVLQDSGYXFUO	0
main	34	18LS4	18	1	P	0	6	O	False	60	90.0	0	0	7	2	VIJXPHZFDYMAGRSUEOTLKNQB	BGEQTDMNRXHFKYULIOPVZSJA	XGYUPFNSJDOAHIBLVQERMTZK	EIVZJTRMUAQOBFXHYGNPDKSL	NZXPISTBMUJQROEVGDLYKFHA	IKNLOAMYRTEZFVGDSXPBJHUQ	GVNXYOEFLPHDIAQUSTBKRZJM	HNAQMTOLPFJKBRVDUSYGXZIE	FSDVGKEMIRJYNUBQLZXAHTOP	OBNSIXVYDRLPAHJGEUZMQTFK	OUTMDZJKVRSPLYGFQNHIAEXB	OYDPMULJKGNTEZIHRVQXBSAF	YADRLPTVJXGQFKHZEIUSMBON	OSDIMLETBNKXAVUZQRFPJGHY	RNPUEQFSLXJHBOVGAIMTYDKZ	KFGNBRLHOYQMSXETZVPDUAJI	UVRBKDAONHTFSXLPEIQZJGYM	ELNZVXJAISRQKTYGOPBMHUDF	0
main	35	18LS4	2	0	E	0	8	P	False	120	300.0	0	1	1	2	TBFAJIPGVUMLERKDYSQOZHNX	RJIBNAGQPVETFDOSXUKLYZMH	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	36	18LS4	6	2	M	0	8	S	False	60	60.0	0	0	1	2	MJADXRPKHNZTOSQIYLGUEFBV	BJHLPFQZSNMOUYRIAGKETVDX	KUQHAPYNERSBLIGJTZDMVFXO	BVFRGXSDYMJETLOIHNUQAZKP	NGLJHDEPKXFVIRUZYQSTMBOA	NJFXGPHVOZBRKDSETUQLYAMI	999	999	999	999	999	999	999	999	999	999	999	999	0
main	37	18LS4	2	0	K	0	9	K	True	60	60.0	0	0	0	0	EJPABDOUFKXQZGNYTVSHRIML	QTYPIXLRAUVEBZJKGFDSHNMO	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	38	18LS4	18	1	K	0	8	O	False	60	90.0	0	0	7	-1	GUXAHSITKJYZFMVRLPNQBEDO	SYRIJFTNBMLUPDKQZOGEXAVH	DRYJESNQALUIBKFMHOGZTVXP	BRYPIUMAHVDNGSZTKFQOLXJE	OYKUDMPGBSLTNRZAHVXEFJIQ	DZORQXUJVNAMELBSPIYTHKFG	BQPORGEVZJKFSDMNUHYLAXIT	PNRHAVMKOIZYFBXEQSLUDTJG	PRTKUHNVYQIDLJGMZFOBAESX	NJTMSKOUGQYEPIRZAHVFBLXD	FPZTOILUVBJRSDMHYEKXGNAQ	IOZJHTSUVEGPYLKQABDRFMNX	RPOKIMQEULHTZGXNSVFABJYD	PEFSRMKIBHZXLTUOQNDJYGVA	BTYUGKHMRNZIEJOVLPFDSQXA	RNUJSMZVLFPKHAXIBEOQGDTY	FOBLEGQVHIARXJDZTMSYUKPN	ADMFIZYRKUJBSQOGTLNEXHVP	1
main	39	18LS4	18	0	K	0	6	P	False	60	240.0	0	1	4	1	ITKLMNOVAGPEUXFYRDHQZSBJ	NHTGDBSEIMKRUPYAZVOLFJQX	APYJXKDOTLIBQHNRGMUSFEZV	HYVDEZBFMSJGXILQNTUKPOAR	BLEOVJPKTAZQMNFYXIUHGSDR	PIYGBJQNAFZDVMLHTEOKRXSU	XQTMJHARSGOPFIBYKUNLZVDE	FZVSBEDIJAYTXKNQPUORHLGM	JVSBFATRXIGPMZDLUHQONKYE	LQZKITAFPBEGMXHRYUJSONVD	AFYGQDKTHZSVMJREIBXUPNLO	HONQXMJSBRDAVPILTGKFUYZE	OHPFDILSEJTQXBAGUKZVYNRM	UGDELIANSKYJRFBTQZXHVMOP	ZEGNDFQRMPYLBTJUIXSOVKHA	XZUYFQHLMPKBOSDNRTIAJEGV	NSGOPEFRKVDLUYTQIHXMZBJA	SGDHLBTJMYFRNXPVUAOIQKEZ	0
main	40	18LS4	6	1	K	0	9	F	False	120	330.0	0	1	5	2	PBUENKQVMZHLFXRGDSAYJOTI	XPTRHAZNGQMSVLIBYJKDEFOU	IUYNLPGBZRAVMODKXHTQSFEJ	TUYRPHNDOLAXVFMBEQISKJGZ	DQGETMHUNRJOPBYKVASLIXFZ	EPIVUNBYLFTKDHAOGQXRSJZM	999	999	999	999	999	999	999	999	999	999	999	999	0
