experimentPhase	trialnum	subject	nStreams	ring	resp0	button0	cuePos0	answer0	correct0	pairAngle0	whichStreamCuedAngle0	whichRespCue0	whichInPair0	cuedStream0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	streamLtrSequence6	streamLtrSequence7	streamLtrSequence8	streamLtrSequence9	streamLtrSequence10	streamLtrSequence11	streamLtrSequence12	streamLtrSequence13	streamLtrSequence14	streamLtrSequence15	streamLtrSequence16	streamLtrSequence17	timingBlips
main	30	18TM5	18	2	B	0	8	P	False	60	240.0	0	1	16	9	NDQYTFPAEMIHOSXRZBLUJVKG	MYJFGHLPKBQUSRXIOTADNZVE	JOGQDZLBYKFXSAEUMVHNIPTR	BSONTUFPKYJXMZQAHLGIEDVR	DPLOUNYMKZERHSAVQIJGTFBX	PJUYKREGSNDXBQFMVIOZTLHA	BPTDEIGSMULOYXVZJAHRQKFN	OAQKLUMZFHTBERSIDNPGJXVY	GLUAVDEXSBPFYQTZNJOMIKRH	RZNDSTKYVILXPQGJMAUHFBOE	QLXDBMEJHZVFGYIAUNSORKPT	TRKDIHFMJXENLQSYVPBUOAGZ	HRKZSUDVXQLGPBJOEFIATMYN	EINPTLUXOZKQYGJHFMVRSABD	HNEFXDZOSILAUJMYRVBGPQKT	XRVHTFQDOIALNEBPJUZKMYSG	FKEHLMOGPSNUDJYXRBAZVITQ	VABFTYUPQLMHEIJDKRSONZGX	0
main	31	18TM5	6	1	A	0	7	Y	False	120	330.0	0	1	5	1	LTHZKQNSMGFEVUJOYIPAXDRB	YBFQPITAMXSRKOGLVZDENJUH	LPIOSQEUTGBADMFKXZYRJVHN	OLEZJQSMINHVKRBAYUXGTPFD	MJFOKRAZLBNEIHUXPSQTGYVD	ELQIBMNYAKZFXHGTVROPSDJU	999	999	999	999	999	999	999	999	999	999	999	999	0
main	32	18TM5	6	2	O	0	8	L	False	60	60.0	0	0	1	1	PMIRAVHTLZUXYNJFBDEOKSGQ	TBHRSYJFLODXZGKEQNPAIUVM	HDVUSQTKZFNRLIPJOXBYAGME	NEHSKXBZVADOMQGYTRPFIJLU	YMHLJIRNUXGVQPDASOBZFKTE	MJLNVFEHBTPGIKDZRYXQOUAS	999	999	999	999	999	999	999	999	999	999	999	999	0
main	33	18TM5	18	2	X	0	10	U	False	120	120.0	0	0	14	2	ZXTOBLUYVKFSJDRNEIAPGMQH	XPOVRYAILFBTUJMQEHSDNKGZ	EUHDLPXYQZKNFABVRSMOTIGJ	LTDGXNZIJHMSQFABYVEOPKUR	NRXFQHDIZVBESLPJAGOUMYTK	JSEMXYFUVOZKTPGARBDINHLQ	OFSBRJMQDTLXGIENVZUAYHPK	RGMSALZITYENUVPXKDBQHJFO	PSERJIVDUMNLYHFAXZBKOGQT	FQAGKSIPEYZNXLHTMRDBJOUV	VEFSLZHPGNQKDUIARBYXJMTO	EGLBHQKUXAJNMRVTPFZIDYSO	KQJASBXTMGLIVNPOHDZEYFRU	IFBGKZNDYRTMQXOLEVJSUAPH	JDPVQHGOREUSXKYZLNTIFBMA	ERVIOQSGNZYDXHKFPJMTBLAU	PRULAVDJOZBSQETYGKXFNHIM	TVFLBAKOUNMPERXDQIJHYZSG	0
main	34	18TM5	6	0	P	0	10	A	False	120	300.0	0	1	5	1	DVEXRIAPNGZYOLMTUHKBJQSF	LJVXZHERSUBFPQIYOKDGMTAN	VPLZTBMXENQHGJORKDUASYIF	FSHGDIPNQTEUJAXZVRYBKLOM	OFIQYTRLMPUZASNJEDBKXGHV	MIDRXFZKVJAPSBTELGUNOYHQ	999	999	999	999	999	999	999	999	999	999	999	999	0
main	35	18TM5	6	1	V	0	6	X	False	0	210.0	0	1	3	7	XBYHOTKJUNSVZGQLDMAERFIP	ZKNEXBIULSGPHQOYRAMVDTFJ	FOTDLAMSHZNGIUQYPVJEXRKB	QAGSNHXYBEMPJVTLIKZURODF	KMBUQXASDREGOPJZLFTNIYVH	RESBKTAFYIPONQHVUXJLDZGM	999	999	999	999	999	999	999	999	999	999	999	999	0
main	36	18TM5	18	0	F	0	9	T	False	60	60.0	0	0	1	1	OEJZADBMXSGKHULRQNIYFTPV	OIPSGHQZDTFBNYMJLEVKXUAR	SALNPZYDKEVFUJXTGRIQMHOB	ERPZATVLONBJKMIQSFUGXHYD	NTKIJRYHMZPQEDAXBVSUGFLO	XYRDBHJQKPNOZILMUASGFTVE	XEUFJMOIPZTAGVDLQHBKNSRY	UXBRGPVLEOJYIFQHSKTNZDAM	IJNQDVGBEZUFXKSHOPYMTALR	VXQPJNSABORUHMLTEDYGFKIZ	LHFEIPUROVJTGBDKYMSAZQXN	ZTPUIMKHGBXYLANSREVJDFQO	GQOMDFHLKIUAVJTYNPEZBRSX	EMSROFXGPZQINULHDYTJVAKB	TQDBOHUALZVGSXJEPKFMNYIR	JTFQHERINSDLOMGUVXBKZPAY	PIYZXOMGAFBEUJRSHLQNDKVT	NHUAQTDVZBFMKXRIPOSJELGY	0
main	37	18TM5	2	2	T	0	10	H	False	120	120.0	0	0	0	-4	RSGKXVTAILHFQBNDOEUYPJZM	XBISQDTOGYPVMLFKNHZEURJA	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	38	18TM5	2	0	J	0	7	J	True	120	120.0	0	0	0	0	XBEMNHKJPYZUODLGSQARVTIF	LMXRDSFQPGUBTYVEHJZAIOKN	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
main	39	18TM5	2	2	U	0	7	X	False	60	240.0	0	1	1	5	SAFZREJIOQLYMHNKGDVBPUXT	PZLEJDRXOGYFUNKTMVQHSABI	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	0
