RECORDING_SESSION_LABEL	TRIAL_INDEX	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y	CURRENT_FIX_MSG_TIME_1	CURRENT_FIX_START	CURRENT_FIX_END	CURRENT_FIX_DURATION
AM3	118	AFTER	459.00	418.80	.	874	1036	163
AM3	118	BEFORE	480.00	373.10	.	1197	2840	1644
AM3	119	NONE	518.20	366.60	.	7	2829	2823
AM3	120	AFTER	509.30	374.60	.	7	1064	1058
AM3	120	BEFORE	500.10	368.60	.	1328	2837	1510
AM3	121	NONE	512.90	384.40	.	7	745	739
AM3	121	NONE	502.50	354.10	.	759	2625	1867
AM3	122	AFTER	503.40	382.30	.	7	295	289
AM3	122	BEFORE	511.00	386.30	.	548	2837	2290
AM3	123	NONE	511.80	379.70	.	7	2837	2831
AM3	124	NONE	502.60	358.70	.	69	1048	980
AM3	124	NONE	503.20	354.20	.	1057	2831	1775
AM3	125	AFTER	509.80	372.90	.	7	740	734
AM3	125	BEFORE	510.80	350.00	.	975	1173	199
AM3	125	NONE	508.50	361.00	.	1185	1800	616
AM3	125	NONE	508.70	365.70	.	1808	2349	542
AM3	125	NONE	478.70	306.40	.	2372	2830	459
AM3	126	AFTER	504.60	382.10	.	7	676	670
AM3	126	BEFORE	517.80	369.50	.	984	1151	168
AM3	126	NONE	506.20	386.80	.	1167	1547	381
AM3	126	NONE	506.60	390.00	.	1555	2829	1275
AM3	127	AFTER	521.50	376.40	.	7	310	304
AM3	127	BEFORE	510.00	374.80	.	524	2830	2307
AM3	128	AFTER	504.90	384.60	.	7	376	370
AM3	128	BEFORE	506.50	368.50	.	652	2849	2198
AM3	129	AFTER	504.30	379.00	.	7	369	363
AM3	129	BEFORE	510.20	374.10	.	580	2840	2261
AM3	130	AFTER	511.50	385.00	.	7	248	242
AM3	130	BOTH	486.60	360.30	.	455	630	176
AM3	130	BEFORE	507.20	396.60	.	847	2840	1994
AM3	131	NONE	508.30	382.90	.	7	275	269
AM3	131	NONE	476.40	390.40	.	295	547	253
AM3	131	AFTER	518.40	379.90	.	570	995	426
AM3	131	BOTH	511.40	374.80	.	1261	2433	1173
AM3	131	BEFORE	424.60	403.50	.	2729	2830	102
AM3	132	AFTER	511.50	380.30	.	7	269	263
AM3	132	BEFORE	504.60	377.60	.	429	717	289
AM3	132	NONE	526.90	389.30	.	731	2829	2099
AM3	133	AFTER	512.30	382.90	.	7	175	169
AM3	133	BEFORE	518.10	369.20	.	380	1124	745
AM3	133	AFTER	524.90	364.60	.	1145	2476	1332
AM3	133	BEFORE	579.00	415.20	.	2775	2841	67
AM3	134	AFTER	482.10	396.00	.	7	296	290
AM3	134	BEFORE	514.20	383.70	.	519	1117	599
AM3	134	NONE	505.80	394.40	.	1127	2841	1715
AM3	135	NONE	502.90	383.00	.	7	248	242
AM3	135	AFTER	479.70	394.30	.	270	613	344
AM3	135	BEFORE	474.10	389.90	.	824	1031	208
AM3	135	NONE	496.60	388.30	.	1050	2848	1799
AM3	136	NONE	517.70	390.90	.	7	322	316
AM3	136	AFTER	497.00	408.90	.	340	554	215
AM3	136	BEFORE	518.30	368.90	.	820	1193	374
AM3	136	NONE	499.60	369.10	.	1206	2831	1626
AM3	137	AFTER	508.10	380.20	.	7	313	307
AM3	137	BEFORE	494.40	356.40	.	512	752	241
AM3	137	NONE	498.30	374.70	.	762	2830	2069
AM3	138	AFTER	507.10	380.60	.	7	695	689
AM3	138	BEFORE	494.80	355.70	.	947	2838	1892
AM3	139	NONE	512.20	383.10	.	7	2840	2834
AM3	140	AFTER	507.70	391.70	.	7	525	519
AM3	140	BEFORE	499.90	386.60	.	752	2706	1955
AM3	140	NONE	190.60	401.60	.	2762	2834	73
AM3	141	NONE	518.00	383.20	.	7	2840	2834
AM3	142	AFTER	504.70	376.80	.	7	418	412
AM3	142	BEFORE	509.40	375.00	.	713	1075	363
AM3	142	NONE	527.10	375.30	.	1091	2836	1746
AM3	143	NONE	510.50	383.50	.	7	751	745
AM3	143	NONE	470.60	393.90	.	775	1129	355
AM3	143	NONE	497.40	374.50	.	1150	2829	1680
AM3	144	NONE	663.10	377.40	.	7	100	94
AM3	144	NONE	460.10	423.70	.	160	508	349
AM3	144	NONE	496.80	418.20	.	530	2750	2221
AM3	144	NONE	803.90	400.80	.	2808	2837	30
AM3	145	NONE	503.60	378.10	.	7	617	611
AM3	145	NONE	509.60	379.00	.	628	2699	2072
AM3	145	NONE	592.40	418.20	.	2726	2830	105
AM3	146	NONE	518.20	374.00	.	7	2829	2823
AM3	147	NONE	515.30	379.40	.	7	2422	2416
AM3	147	NONE	475.60	352.20	.	2444	2829	386
AM3	148	NONE	501.20	371.40	.	7	2728	2722
AM3	148	NONE	678.10	391.00	.	2773	2829	57
AM3	149	AFTER	511.00	382.90	.	7	353	347
AM3	149	BEFORE	515.70	387.10	.	596	802	207
AM3	149	NONE	524.60	394.30	.	818	1078	261
AM3	149	NONE	511.90	402.60	.	1086	2830	1745
AM3	150	NONE	500.20	384.30	.	7	2306	2300
AM3	150	NONE	560.80	367.20	.	2331	2840	510
AM3	151	NONE	512.40	379.80	.	7	2840	2834
AM3	152	AFTER	510.80	377.90	.	7	869	863
AM3	152	BEFORE	509.00	366.70	.	1197	1453	257
AM3	152	NONE	517.00	372.30	.	1461	2720	1260
AM3	152	NONE	257.60	389.90	.	2766	2830	65
AM3	153	AFTER	514.10	380.40	.	7	87	81
AM3	153	BEFORE	491.20	376.40	.	338	596	259
AM3	153	NONE	506.50	388.30	.	617	1280	664
AM3	153	NONE	499.80	397.80	.	1301	2840	1540
AM3	154	NONE	521.00	380.80	.	7	232	226
AM3	154	NONE	485.70	392.20	.	255	1529	1275
AM3	154	AFTER	498.50	412.80	.	1539	2520	982
AM3	154	BEFORE	563.00	450.10	.	2762	2842	81
AM3	155	NONE	517.20	370.10	.	7	2830	2824
AM3	156	NONE	514.90	371.90	.	7	2845	2839
AM3	157	NONE	515.20	384.40	.	7	285	279
AM3	157	NONE	476.60	380.50	.	308	492	185
AM3	157	NONE	508.40	383.70	.	511	777	267
AM3	157	NONE	527.00	373.90	.	788	2838	2051
AM3	158	AFTER	516.60	385.30	.	7	600	594
AM3	158	BEFORE	522.20	379.00	.	809	1122	314
AM3	158	NONE	504.50	384.40	.	1130	2831	1702
AM3	159	NONE	511.30	379.20	.	7	640	634
AM3	159	NONE	521.60	369.10	.	655	2840	2186
AM3	160	AFTER	514.50	378.00	.	7	134	128
AM3	160	BEFORE	513.10	370.90	.	354	1453	1100
AM3	160	NONE	511.30	384.20	.	1472	2329	858
AM3	160	NONE	559.60	344.70	.	2356	2833	478
AM3	161	AFTER	515.20	385.30	.	7	444	438
AM3	161	BEFORE	503.50	381.40	.	699	1084	386
AM3	161	NONE	515.10	393.20	.	1095	1525	431
AM3	161	NONE	500.00	350.90	.	1548	1861	314
AM3	161	NONE	520.70	372.90	.	1892	2394	503
AM3	161	NONE	518.10	327.20	.	2417	2837	421
AM3	162	NONE	523.90	352.10	.	7	297	291
AM3	162	AFTER	514.20	380.70	.	315	509	195
AM3	162	BEFORE	503.50	379.10	.	686	1030	345
AM3	162	NONE	514.20	384.70	.	1040	2839	1800
AM3	163	NONE	502.50	390.30	.	7	260	254
AM3	163	NONE	478.40	353.20	.	281	799	519
AM3	163	NONE	507.50	368.70	.	820	2838	2019
AM3	164	AFTER	537.30	374.50	.	7	259	253
AM3	164	BEFORE	538.10	359.60	.	556	720	165
AM3	164	NONE	544.10	382.20	.	734	1048	315
AM3	164	NONE	531.10	374.60	.	1057	2840	1784
AM3	165	NONE	509.40	381.50	.	7	307	301
AM3	165	NONE	484.80	381.90	.	320	496	177
AM3	165	AFTER	516.20	382.60	.	516	924	409
