RECORDING_SESSION_LABEL	TRIAL_LABEL	TRIAL_INDEX	CURRENT_FIX_BLINK_AROUND	CURRENT_FIX_X	CURRENT_FIX_Y
YZ15	Trial: 303	303	NONE	567.30	394.10
YZ15	Trial: 304	304	NONE	507.60	378.80
YZ15	Trial: 304	304	NONE	522.60	394.10
YZ15	Trial: 305	305	NONE	522.40	377.90
YZ15	Trial: 305	305	NONE	636.90	373.40
YZ15	Trial: 306	306	NONE	519.80	391.70
YZ15	Trial: 306	306	NONE	523.00	375.80
YZ15	Trial: 306	306	NONE	517.60	376.20
YZ15	Trial: 306	306	NONE	453.70	407.70
YZ15	Trial: 306	306	NONE	515.70	396.60
YZ15	Trial: 307	307	NONE	515.70	383.20
YZ15	Trial: 307	307	NONE	513.60	379.40
