experimentPhase	trialnum	subject	task	noisePercent	targetLeftRightIfOne	resp0	answer0	correct0	whichStream0	whichRespCue0	responsePosRelative0	streamLtrSequence0	streamLtrSequence1	streamLtrSequence2	streamLtrSequence3	streamLtrSequence4	streamLtrSequence5	timingBlips
main	37 	SH 	 oneCued 	 0.0 	 right 	R 	W 	0.0 	3 	0 	-7.0 	ALUZVSXMKWERIDFJQBONHPGTCY	DLYRHXWTNSPUOFCKGAZMEQVBIJ	GAKPBJNCVZYMQSLFOHREIDXUWT	PRVSCMDAWKJLQZEHYNBIFOXUGT	IVQFRDXOZKBEPNGUJALCMSTWYH	PHLJKGBZIYNFXUOMCQSEDVRWTA	0
main	38 	SH 	 oneCued 	 0.0 	 right 	F 	A 	0.0 	3 	0 	3.0 	AVITNJLFRMZGHCSEUDYPOKBXWQ	FAQSJYXHCLEPDKZWUGVRTINMOB	GAVFKDMPZUYEHLSXOBTQJCWRIN	ESYOQIVBGPADJFNXRUWKTZCMHL	FAQYXUBZMVDLRPKHGSJCWIOTEN	TAVCIEMBYKXGWNHJZLRQFOSUDP	0
main	39 	SH 	 oneCued 	 0.0 	 left 	T 	Y 	0.0 	3 	0 	1.0 	GXKOCTQFIRWZPJNVEDBLYMSAUH	WTHBORAKPFDQINCGYVMEXSJZLU	GTUJNFLMSCEZAPKBYQHXDWIORV	PZKEALFCBSYTODIQGVRMUWHNXJ	ILGRMHNOEBTUCAXJPSDZQWKVFY	USBFQMTHLNPYDKCIVAJRGXEWOZ	0
main	40 	SH 	 oneCued 	 0.0 	 right 	O 	W 	0.0 	3 	0 	-2.0 	YJKICULOPXGBFEVHDMTZWNRQSA	ZOADIRQTHBFSJYUEGXCWNKMPVL	NVMGZHCLWSPBDKRIJEFQXUATYO	UTARPODWBCHMLQISJZGKYNFVXE	CWQOMGVIFXZKJEHBDNTARYUPLS	CBKHOIDAPZFSXJMVYTRUEQGNWL	0
main	41 	SH 	 oneCued 	 0.0 	 left 	N 	N 	1.0 	3 	0 	0.0 	FCXYWJTGPRDLMASNIUZBQOHEVK	KQUOYEDZBXNCLWGMRHSTAFJVPI	VUBJSNARIYQPECLOZDWHKXTMGF	ETKCDZNYLRJOWBQVSAXUFIMHPG	DHREWBQICVNUPJTSXLKOAFZGMY	JWPOSHKNIGBLZRYTVFCXMQDAUE	0
main	42 	SH 	 oneCued 	 0.0 	 right 	W 	D 	0.0 	4 	0 	7.0 	LWJHMSCXKUOPRBDYVEIGTQANFZ	SITGMJROPYWNLCBDHZFKVUEAXQ	PMDQZRGBEFWNOVTKULACJYHSIX	KXTYPNUOFVGQIHDBRMZWJCLAES	CJSYEMAQKHDXUFVNTWGPIZBLOR	RLIUQEKBGJYMFVPTDACZHNWXOS	0
main	43 	SH 	 oneCued 	 0.0 	 right 	G 	A 	0.0 	5 	0 	-1.0 	DWQRVLUCEFGBNZOJXHSITKMYAP	ITYWGNMUKVFOPXJDBCSEZHRQAL	TDRQIGZEYKVSNXFPOACJULHMBW	PDBKLVCGTUHENJYOQRIMSXFAWZ	CSQZNXLYJBFIVDEPUMORGAKTHW	DLYJVXQWGAFBKRONIUTHPSEZCM	0
main	44 	SH 	 oneCued 	 0.0 	 right 	D 	D 	1.0 	4 	0 	0.0 	RNFWXHUTBDJZQLPGICKMAVYOES	IOGHEJCKUDMYBANTFWXQRPVSLZ	WMOJHFQDKIYSPCREATXGZUBVNL	VKAGFLYTNPZISBWMQRXUEHJOCD	RLITSYAUNDOVBCXWKEGHMPJZQF	WNHPTMDOBIEXSZAKRFGCJLYUQV	0
main	45 	SH 	 oneCued 	 0.0 	 left 	C 	B 	0.0 	1 	0 	2.0 	VLHJFOBZXISCPARNKGTUDWMQEY	SQGOJNLWXBFCTRVUHZDMIKPEAY	QRJEXSLAWBKTFVODMUZCPNHYGI	ZOQHKBUARSLJEGDNCXIVTPMYWF	EUYSVWGZADOJBPNRXITQKHFCLM	TPMIBZQOJHRFVCYWLDUNSGXEKA	2
main	46 	SH 	 oneCued 	 0.0 	 left 	E 	N 	0.0 	5 	0 	2.0 	CNJFZDIUHSMXBQKTAOEPWRVLGY	HGZCSEQKUDLMROFWJIVNTAXBPY	LQEMVFYPSRXOUCHKZIJWBTNGAD	UFZIBLEQJSOVMDXWKHTNGCRPAY	DXRKIBMEVHQGLTSUWAFCNJPYZO	FSPYRMLOGVNZEJXIUTWBQDHAKC	0
main	47 	SH 	 oneCued 	 0.0 	 left 	E 	R 	0.0 	5 	0 	2.0 	ROWVHBJFZYPCGSUKQETILDAXNM	HGDOXVBPMJNSEWZKYAIQLRTUFC	JGKIRPAMCLNHVDOBTWZEYUQXSF	SROQLNMXUJZHGBEWIFKYPATCDV	QXMEUJFDYHPOKNLSZRACWVGITB	NTYAGLWVRIEXOSHKJCDZBPMQFU	0
main	48 	SH 	 oneCued 	 0.0 	 left 	L 	T 	0.0 	0 	0 	4.0 	VHQOZPMKRTFWILBAEYGCDNXUSJ	CSZUVBOFMHQGLWDEXNPYIJRTAK	FYWXOQTVJMSPHRNIKUCBZGDALE	LONATIQCMDHKWXYFVPJZUBGSRE	CNLAOQPFDZIUTKRYGEHSWMVJBX	ESIXHYNFRTAQLOBPVUGJZKWCMD	0
main	49 	SH 	 oneCued 	 0.0 	 right 	A 	J 	0.0 	4 	0 	10.0 	XZSIFRMQGTDWELJUHACNBVKPYO	CBSFERVNIKHXZDALQJUOYPTMGW	CXONFSUWIQVGLKDMYHJETZBARP	UTRVNPWMJSLAZYGBXEIHQOKFDC	MDKNUWYJEHFQZRCTSAXBLVPGIO	KCWGVPIANFRDZTYLOUHEXMSJBQ	1
main	50 	SH 	 oneCued 	 0.0 	 right 	H 	K 	0.0 	3 	0 	3.0 	VZTGRXFHUEWJASMNYIQOPDBLCK	IGYMXRAVHSZNWTEPQFKLUOCBDJ	HSDTMAJILXBFCZVWENQRUPOKYG	OCENGVKIDHRPJWATFXQUBZYLSM	YIJWCOBTKXEMPDASQNGVHRLZFU	LNOSZERKQHFWBMJYDCUPIXAVTG	0
main	51 	SH 	 oneCued 	 0.0 	 right 	S 	U 	0.0 	4 	0 	4.0 	BVMKRPJGFESCQDHUOZWINYTXLA	LYMOFCPBUNDHAGRJVIQESTKWXZ	CAENVFJUBXZKGILOWQSMYHTDPR	NEGZTKWFPOBJSULRYDXVMCIAQH	IFYXQTPMUJDCSLZHNRBWAVGKOE	AHJZWYFDQSELMRVXTPKBOCUGIN	0
main	52 	SH 	 oneCued 	 0.0 	 left 	C 	U 	0.0 	3 	0 	3.0 	YAXQNPHCOZJMTWKSBRIDFGLVUE	CPIRHLVWYBGUKTNMAOJESZQXDF	EIPKAZTNDLUSHJVGQYOWBMFCRX	RMIAFSBDUWYCQTPZOKEVJGNHXL	JTKDGARNUBOHXQWECYLIVSZMFP	VQISZMJFACNHELWYDXKRUBTPOG	0
